comparison_type,dataset,week_from,week_to,model,budget,protocol,reference_protocol,jaccard,intersection,union
protocol,oulab,2,2,base_dffnn,0.01,activity_conditioned,cutoff_valid,0.1285140562248996,64,498
protocol,oulab,2,2,base_dffnn,0.01,activity_to_cutoff_valid,cutoff_valid,0.4635416666666667,178,384
protocol,oulab,2,2,base_dffnn,0.01,cutoff_valid_to_activity,cutoff_valid,0.15163934426229508,74,488
protocol,oulab,2,2,base_dffnn,0.01,static_full,cutoff_valid,0.052434456928838954,28,534
evaluation_population,oulab,2,2,base_dffnn,0.01,activity_conditioned,activity_to_cutoff_valid,0.22975929978118162,105,457
evaluation_population,oulab,2,2,base_dffnn,0.01,cutoff_valid,cutoff_valid_to_activity,0.15163934426229508,74,488
protocol,oulab,2,2,base_dffnn,0.05,activity_conditioned,cutoff_valid,0.23864137626819584,541,2267
protocol,oulab,2,2,base_dffnn,0.05,activity_to_cutoff_valid,cutoff_valid,0.6193771626297578,1074,1734
protocol,oulab,2,2,base_dffnn,0.05,cutoff_valid_to_activity,cutoff_valid,0.2874828060522696,627,2181
protocol,oulab,2,2,base_dffnn,0.05,static_full,cutoff_valid,0.12140575079872204,304,2504
evaluation_population,oulab,2,2,base_dffnn,0.05,activity_conditioned,activity_to_cutoff_valid,0.35129932627526467,730,2078
evaluation_population,oulab,2,2,base_dffnn,0.05,cutoff_valid,cutoff_valid_to_activity,0.2874828060522696,627,2181
protocol,oulab,2,2,base_dffnn,0.1,activity_conditioned,cutoff_valid,0.3448275862068966,1440,4176
protocol,oulab,2,2,base_dffnn,0.1,activity_to_cutoff_valid,cutoff_valid,0.7038834951456311,2320,3296
protocol,oulab,2,2,base_dffnn,0.1,cutoff_valid_to_activity,cutoff_valid,0.40999246798895306,1633,3983
protocol,oulab,2,2,base_dffnn,0.1,static_full,cutoff_valid,0.17587939698492464,840,4776
evaluation_population,oulab,2,2,base_dffnn,0.1,activity_conditioned,activity_to_cutoff_valid,0.4330186272008165,1697,3919
evaluation_population,oulab,2,2,base_dffnn,0.1,cutoff_valid,cutoff_valid_to_activity,0.40999246798895306,1633,3983
protocol,oulab,2,2,base_dffnn,0.2,activity_conditioned,cutoff_valid,0.4768421052631579,3624,7600
protocol,oulab,2,2,base_dffnn,0.2,activity_to_cutoff_valid,cutoff_valid,0.8027626084163186,4998,6226
protocol,oulab,2,2,base_dffnn,0.2,cutoff_valid_to_activity,cutoff_valid,0.5419700508311581,3945,7279
protocol,oulab,2,2,base_dffnn,0.2,static_full,cutoff_valid,0.29026324864927006,2525,8699
evaluation_population,oulab,2,2,base_dffnn,0.2,activity_conditioned,activity_to_cutoff_valid,0.5502762430939226,3984,7240
evaluation_population,oulab,2,2,base_dffnn,0.2,cutoff_valid,cutoff_valid_to_activity,0.5419700508311581,3945,7279
protocol,oulab,2,2,base_knn,0.01,activity_conditioned,cutoff_valid,0.02181818181818182,12,550
protocol,oulab,2,2,base_knn,0.01,activity_to_cutoff_valid,cutoff_valid,0.023679417122040074,13,549
protocol,oulab,2,2,base_knn,0.01,cutoff_valid_to_activity,cutoff_valid,0.038817005545286505,21,541
protocol,oulab,2,2,base_knn,0.01,static_full,cutoff_valid,0.21120689655172414,98,464
evaluation_population,oulab,2,2,base_knn,0.01,activity_conditioned,activity_to_cutoff_valid,0.6242774566473989,216,346
evaluation_population,oulab,2,2,base_knn,0.01,cutoff_valid,cutoff_valid_to_activity,0.038817005545286505,21,541
protocol,oulab,2,2,base_knn,0.05,activity_conditioned,cutoff_valid,0.10594722331626624,269,2539
protocol,oulab,2,2,base_knn,0.05,activity_to_cutoff_valid,cutoff_valid,0.1396103896103896,344,2464
protocol,oulab,2,2,base_knn,0.05,cutoff_valid_to_activity,cutoff_valid,0.11917098445595854,299,2509
protocol,oulab,2,2,base_knn,0.05,static_full,cutoff_valid,0.22673656618610746,519,2289
evaluation_population,oulab,2,2,base_knn,0.05,activity_conditioned,activity_to_cutoff_valid,0.6615384615384615,1118,1690
evaluation_population,oulab,2,2,base_knn,0.05,cutoff_valid,cutoff_valid_to_activity,0.11917098445595854,299,2509
protocol,oulab,2,2,base_knn,0.1,activity_conditioned,cutoff_valid,0.2781065088757396,1222,4394
protocol,oulab,2,2,base_knn,0.1,activity_to_cutoff_valid,cutoff_valid,0.41283018867924526,1641,3975
protocol,oulab,2,2,base_knn,0.1,cutoff_valid_to_activity,cutoff_valid,0.3130699088145897,1339,4277
