dataset,week,protocol,model,n,n_clusters,cluster_unit,auc_mean,auc_ci_low,auc_ci_high,pr_auc_risk_mean,pr_auc_risk_ci_low,pr_auc_risk_ci_high,brier_mean,brier_ci_low,brier_ci_high,ece_mean,ece_ci_low,ece_ci_high
oulab,2,discrete_hazard,base_dffnn,28069,22,presentation,0.6532420897941107,0.6236410579321423,0.6866544867517139,0.01627701873901759,0.012480934728483611,0.02760849812039789,0.007553861639716708,0.005195969974476921,0.010433610731894855,0.002317700738863282,0.00023270389231159886,0.004526616774517261
oulab,2,discrete_hazard,base_knn,28069,22,presentation,0.5150082117507722,0.4774229354924643,0.5658693692154766,0.008564048335390066,0.005986443213703399,0.013593917641907349,0.007709679432826249,0.005314378913818653,0.01062088624593412,0.0009845737290248454,0.00012178486056112331,0.0034219518981590227
oulab,2,discrete_hazard,base_lr_clickstream,28069,22,presentation,0.4971802407997356,0.44139680665537295,0.5668900103469461,0.007088040970096611,0.005297504418258849,0.009856276828372649,0.007578026533027153,0.005218253350353066,0.010457590143587617,0.003104632355988568,0.0004178342774203664,0.005619575263798591
oulab,2,discrete_hazard,base_lr_profile,28069,22,presentation,0.5657662259665792,0.5044229266245611,0.6604291437004886,0.01051192968785513,0.008327638557510302,0.01443960000552034,0.007575167674336756,0.00520467317022426,0.010484407500078577,0.0020772399217424222,0.0001609058002983952,0.004468629487500758
oulab,2,discrete_hazard,base_lr_weekly,28069,22,presentation,0.5721716432057199,0.4744111247764935,0.6764356491642853,0.010238577829629954,0.008070444564223473,0.013859727789498124,0.007565137059070619,0.005194592952129702,0.010466554391963735,0.0012641285350282194,7.026231599765296e-05,0.0037392765033838734
oulab,2,discrete_hazard,base_rf_entropy,28069,22,presentation,0.608154461438323,0.5577639212236605,0.6766046122194401,0.01222538248645217,0.008715591565968493,0.0189147951308785,0.01622014456162237,0.013422276868232691,0.019498727648421935,0.07574778969424967,0.06981064541395364,0.08206237996548954
oulab,2,discrete_hazard,base_rf_gini,28069,22,presentation,0.6055225072429486,0.55363157068717,0.6744955443899203,0.012425123328834175,0.008846638714416315,0.01924503568120976,0.01651095065892221,0.013715985238519931,0.019806970483100747,0.07718452961705194,0.07132470987195935,0.08342386817181792
oulab,2,discrete_hazard,base_svm,28069,22,presentation,0.46802491876322144,0.394647642452611,0.5678072581909255,0.006796399095526932,0.005358742632786241,0.009123402615607176,0.007571028987395995,0.00520141138831683,0.010465564597982868,0.0014128867839732218,7.523072092607968e-05,0.003970611908479948
oulab,2,discrete_hazard,flat_hgb,28069,22,presentation,0.6268907577122516,0.5870388108173311,0.6673798836116552,0.0102648045060022,0.00787754015165481,0.013200723597288723,0.007557969802316957,0.005188585108874578,0.010449988186334169,0.0009121535741215547,7.094339650970892e-05,0.003139959895009987
oulab,2,discrete_hazard,stack_7_full,28069,22,presentation,0.6540570578278369,0.5910436803408818,0.7261299898487095,0.018104220136696478,0.012235379373529559,0.027964486789743243,0.007540252572357055,0.0051691651137707045,0.010447358571829239,0.00020766154464088045,6.158941446686312e-05,0.0030534570906702563
oulab,2,discrete_hazard,temporal_hgb,28069,22,presentation,0.6192037537514867,0.554697702149963,0.6942260429994577,0.012739286356822367,0.00996906742920867,0.016549857130063846,0.007555627929109441,0.005184982561460328,0.010456418221298955,0.0009038670275527405,6.816413758298056e-05,0.0034649289596007243
