dataset,week,attribute,group,observability,n,share,risk_rate
oulab,2,gender,F,eligible_active,11645,0.44068117313150423,0.41099184199227135
oulab,2,gender,M,eligible_active,14780,0.5593188268684958,0.4506089309878214
oulab,2,gender,F,eligible_silent,931,0.566301703163017,0.7293233082706767
oulab,2,gender,M,eligible_silent,713,0.43369829683698297,0.8176718092566619
oulab,2,region,East Anglian Region,eligible_active,2695,0.10198675496688742,0.41150278293135434
oulab,2,region,East Midlands Region,eligible_active,1867,0.07065279091769158,0.4343867166577397
oulab,2,region,Ireland,eligible_active,1033,0.039091769157994324,0.40561471442400776
oulab,2,region,London Region,eligible_active,2436,0.09218543046357616,0.45648604269293924
oulab,2,region,North Region,eligible_active,1496,0.05661305581835383,0.39438502673796794
oulab,2,region,North Western Region,eligible_active,2246,0.08499526963103123,0.493766696349065
oulab,2,region,Scotland,eligible_active,3005,0.11371807000946074,0.4515806988352745
oulab,2,region,South East Region,eligible_active,1711,0.06474929044465469,0.3798947983635301
oulab,2,region,South Region,eligible_active,2549,0.09646168401135288,0.37975676735974895
oulab,2,region,South West Region,eligible_active,1984,0.07508041627246925,0.4002016129032258
oulab,2,region,Wales,eligible_active,1809,0.06845789971617786,0.4947484798231067
oulab,2,region,West Midlands Region,eligible_active,1997,0.07557237464522233,0.45968953430145215
oulab,2,region,Yorkshire Region,eligible_active,1597,0.06043519394512772,0.44708829054477145
oulab,2,region,East Anglian Region,eligible_silent,160,0.09732360097323602,0.71875
oulab,2,region,East Midlands Region,eligible_silent,100,0.06082725060827251,0.75
oulab,2,region,Ireland,eligible_silent,82,0.049878345498783457,0.6585365853658537
oulab,2,region,London Region,eligible_silent,200,0.12165450121654502,0.81
oulab,2,region,North Region,eligible_silent,71,0.04318734793187348,0.8309859154929577
oulab,2,region,North Western Region,eligible_silent,147,0.08941605839416059,0.7891156462585034
oulab,2,region,Scotland,eligible_silent,188,0.11435523114355231,0.7978723404255319
oulab,2,region,South East Region,eligible_silent,89,0.054136253041362534,0.7415730337078652
oulab,2,region,South Region,eligible_silent,126,0.07664233576642336,0.7063492063492064
oulab,2,region,South West Region,eligible_silent,109,0.06630170316301703,0.7889908256880734
oulab,2,region,Wales,eligible_silent,135,0.08211678832116788,0.7925925925925926
oulab,2,region,West Midlands Region,eligible_silent,136,0.0827250608272506,0.7279411764705882
oulab,2,region,Yorkshire Region,eligible_silent,101,0.06143552311435523,0.8316831683168316
oulab,2,highest_education,A Level or Equivalent,eligible_active,11628,0.44003784295175025,0.3863949088407293
oulab,2,highest_education,HE Qualification,eligible_active,4029,0.15246925260170294,0.352692975924547
oulab,2,highest_education,Lower Than A Level,eligible_active,10240,0.38751182592242195,0.51806640625
oulab,2,highest_education,No Formal quals,eligible_active,245,0.009271523178807948,0.5836734693877551
oulab,2,highest_education,Post Graduate Qualification,eligible_active,283,0.010709555345316936,0.2968197879858657
oulab,2,highest_education,A Level or Equivalent,eligible_silent,611,0.37165450121654503,0.7332242225859247
oulab,2,highest_education,HE Qualification,eligible_silent,182,0.11070559610705596,0.7582417582417582
oulab,2,highest_education,Lower Than A Level,eligible_silent,814,0.4951338199513382,0.7936117936117936
oulab,2,highest_education,No Formal quals,eligible_silent,27,0.016423357664233577,0.9629629629629629
oulab,2,highest_education,Post Graduate Qualification,eligible_silent,10,0.006082725060827251,0.4
oulab,2,imd_band,0-10%,eligible_active,2478,0.09377483443708609,0.5472154963680388
oulab,2,imd_band,10-20,eligible_active,2676,0.10126773888363293,0.5085949177877429
oulab,2,imd_band,20-30%,eligible_active,2838,0.10739829706717124,0.4940098661028894
oulab,2,imd_band,30-40%,eligible_active,2883,0.10910122989593188,0.4380853277835588
oulab,2,imd_band,40-50%,eligible_active,2614,0.09892147587511826,0.43305279265493496
oulab,2,imd_band,50-60%,eligible_active,2576,0.09748344370860927,0.42624223602484473
oulab,2,imd_band,60-70%,eligible_active,2430,0.09195837275307474,0.3950617283950617
oulab,2,imd_band,70-80%,eligible_active,2427,0.09184484389782403,0.40708693860733414
oulab,2,imd_band,80-90%,eligible_active,2297,0.08692526017029328,0.3670004353504571
oulab,2,imd_band,90-100%,eligible_active,2192,0.08295175023651845,0.34215328467153283
oulab,2,imd_band,nan,eligible_active,1014,0.03837275307473983,0.28895463510848124
oulab,2,imd_band,0-10%,eligible_silent,230,0.13990267639902676,0.8260869565217391
oulab,2,imd_band,10-20,eligible_silent,216,0.13138686131386862,0.8055555555555556
oulab,2,imd_band,20-30%,eligible_silent,223,0.1356447688564477,0.7757847533632287
oulab,2,imd_band,30-40%,eligible_silent,172,0.10462287104622871,0.7848837209302325
oulab,2,imd_band,40-50%,eligible_silent,159,0.09671532846715329,0.7861635220125787
oulab,2,imd_band,50-60%,eligible_silent,165,0.10036496350364964,0.7272727272727273
oulab,2,imd_band,60-70%,eligible_silent,132,0.08029197080291971,0.7424242424242424
oulab,2,imd_band,70-80%,eligible_silent,123,0.07481751824817519,0.6747967479674797
oulab,2,imd_band,80-90%,eligible_silent,124,0.07542579075425791,0.7016129032258065
oulab,2,imd_band,90-100%,eligible_silent,77,0.04683698296836983,0.7792207792207793
oulab,2,imd_band,nan,eligible_silent,23,0.013990267639902677,0.7391304347826086
oulab,2,age_band,0-35,eligible_active,18457,0.6984673604541154,0.4540282819526467
oulab,2,age_band,35-55,eligible_active,7776,0.2942667928098392,0.3864454732510288
oulab,2,age_band,55<=,eligible_active,192,0.0072658467360454115,0.3177083333333333
oulab,2,age_band,0-35,eligible_silent,1128,0.6861313868613139,0.7854609929078015
oulab,2,age_band,35-55,eligible_silent,510,0.3102189781021898,0.7294117647058823
oulab,2,age_band,55<=,eligible_silent,6,0.0036496350364963502,0.6666666666666666
oulab,2,disability,N,eligible_active,23914,0.9049763481551562,0.42280672409467257
oulab,2,disability,Y,eligible_active,2511,0.0950236518448439,0.5316606929510155
oulab,2,disability,N,eligible_silent,1478,0.8990267639902676,0.7618403247631935
oulab,2,disability,Y,eligible_silent,166,0.10097323600973236,0.8192771084337349
oulab,4,gender,F,eligible_active,11937,0.44592625798498264,0.4094831197118204
oulab,4,gender,M,eligible_active,14832,0.5540737420150174,0.44586030204962246
oulab,4,gender,F,eligible_silent,426,0.556135770234987,0.8215962441314554
oulab,4,gender,M,eligible_silent,340,0.44386422976501305,0.8970588235294118
oulab,4,region,East Anglian Region,eligible_active,2729,0.10194628114610184,0.4063759618908025
oulab,4,region,East Midlands Region,eligible_active,1878,0.0701557772049759,0.42864749733759316
oulab,4,region,Ireland,eligible_active,1077,0.040233105457805673,0.39647168059424326
oulab,4,region,London Region,eligible_active,2487,0.09290597332735627,0.4571773220747889
oulab,4,region,North Region,eligible_active,1496,0.0558855392431544,0.3877005347593583
oulab,4,region,North Western Region,eligible_active,2268,0.08472486831783033,0.4894179894179894
oulab,4,region,Scotland,eligible_active,3066,0.11453547013336322,0.45107632093933464
oulab,4,region,South East Region,eligible_active,1721,0.06429078411595503,0.3765252760023242
oulab,4,region,South Region,eligible_active,2562,0.09570772161828982,0.3731459797033568
oulab,4,region,South West Region,eligible_active,1998,0.07463857447046958,0.3968968968968969
oulab,4,region,Wales,eligible_active,1854,0.06925921775187717,0.49406688241639696
oulab,4,region,West Midlands Region,eligible_active,2030,0.07583398707460122,0.4566502463054187
oulab,4,region,Yorkshire Region,eligible_active,1603,0.059882700138219586,0.4429195258889582
oulab,4,region,East Anglian Region,eligible_silent,78,0.10182767624020887,0.8205128205128205
oulab,4,region,East Midlands Region,eligible_silent,46,0.06005221932114883,0.8260869565217391
oulab,4,region,Ireland,eligible_silent,29,0.037859007832898174,1.0
oulab,4,region,London Region,eligible_silent,88,0.11488250652741515,0.8636363636363636
oulab,4,region,North Region,eligible_silent,35,0.04569190600522193,0.8857142857142857
oulab,4,region,North Western Region,eligible_silent,68,0.08877284595300261,0.8529411764705882
oulab,4,region,Scotland,eligible_silent,95,0.12402088772845953,0.9578947368421052
oulab,4,region,South East Region,eligible_silent,47,0.06135770234986945,0.7446808510638298
oulab,4,region,South Region,eligible_silent,61,0.07963446475195822,0.7704918032786885
oulab,4,region,South West Region,eligible_silent,52,0.06788511749347259,0.8461538461538461
oulab,4,region,Wales,eligible_silent,56,0.0731070496083551,0.9285714285714286
oulab,4,region,West Midlands Region,eligible_silent,59,0.07702349869451697,0.7627118644067796
oulab,4,region,Yorkshire Region,eligible_silent,52,0.06788511749347259,0.8653846153846154
oulab,4,highest_education,A Level or Equivalent,eligible_active,11791,0.440472187978632,0.3840217114748537
oulab,4,highest_education,HE Qualification,eligible_active,4069,0.15200418394411447,0.34873433275989185
oulab,4,highest_education,Lower Than A Level,eligible_active,10380,0.3877619634652023,0.5136801541425818
oulab,4,highest_education,No Formal quals,eligible_active,244,0.009115021106503791,0.5778688524590164
oulab,4,highest_education,Post Graduate Qualification,eligible_active,285,0.010646643505547462,0.28421052631578947
oulab,4,highest_education,A Level or Equivalent,eligible_silent,249,0.32506527415143605,0.8313253012048193
oulab,4,highest_education,HE Qualification,eligible_silent,79,0.1031331592689295,0.9240506329113924
oulab,4,highest_education,Lower Than A Level,eligible_silent,419,0.5469973890339426,0.8520286396181385
oulab,4,highest_education,No Formal quals,eligible_silent,16,0.020887728459530026,1.0
oulab,4,highest_education,Post Graduate Qualification,eligible_silent,3,0.0039164490861618795,0.6666666666666666
oulab,4,imd_band,0-10%,eligible_active,2531,0.09454966565803728,0.5440537337020941
oulab,4,imd_band,10-20,eligible_active,2719,0.10157271470731069,0.5045972784111806
oulab,4,imd_band,20-30%,eligible_active,2878,0.1075124210840898,0.48783877692842254
oulab,4,imd_band,30-40%,eligible_active,2919,0.10904404348313347,0.4354230900993491
oulab,4,imd_band,40-50%,eligible_active,2636,0.09847211326534425,0.4279210925644917
oulab,4,imd_band,50-60%,eligible_active,2629,0.09821061675819044,0.4244960060859643
oulab,4,imd_band,60-70%,eligible_active,2446,0.0913743509283126,0.3887980376124285
oulab,4,imd_band,70-80%,eligible_active,2466,0.09212148380589488,0.4034874290348743
oulab,4,imd_band,80-90%,eligible_active,2326,0.08689155366281893,0.3650042992261393
oulab,4,imd_band,90-100%,eligible_active,2203,0.08229668646568793,0.3404448479346346
oulab,4,imd_band,nan,eligible_active,1016,0.03795435018117972,0.28346456692913385
oulab,4,imd_band,0-10%,eligible_silent,118,0.15404699738903394,0.923728813559322
oulab,4,imd_band,10-20,eligible_silent,108,0.1409921671018277,0.8981481481481481
oulab,4,imd_band,20-30%,eligible_silent,105,0.1370757180156658,0.8666666666666667
oulab,4,imd_band,30-40%,eligible_silent,79,0.1031331592689295,0.8607594936708861
oulab,4,imd_band,40-50%,eligible_silent,77,0.10052219321148825,0.8831168831168831
oulab,4,imd_band,50-60%,eligible_silent,59,0.07702349869451697,0.8135593220338984
oulab,4,imd_band,60-70%,eligible_silent,66,0.08616187989556136,0.803030303030303
oulab,4,imd_band,70-80%,eligible_silent,53,0.06919060052219321,0.7924528301886793
oulab,4,imd_band,80-90%,eligible_silent,52,0.06788511749347259,0.7115384615384616
oulab,4,imd_band,90-100%,eligible_silent,37,0.048302872062663184,0.8378378378378378
oulab,4,imd_band,nan,eligible_silent,12,0.015665796344647518,0.9166666666666666
oulab,4,age_band,0-35,eligible_active,18663,0.6971870447159028,0.4501955741306328
oulab,4,age_band,35-55,eligible_active,7915,0.2956778363031865,0.38420720151610865
oulab,4,age_band,55<=,eligible_active,191,0.007135118980910755,0.3036649214659686
oulab,4,age_band,0-35,eligible_silent,514,0.6710182767624021,0.867704280155642
oulab,4,age_band,35-55,eligible_silent,250,0.3263707571801567,0.828
oulab,4,age_band,55<=,eligible_silent,2,0.0026109660574412533,1.0
oulab,4,disability,N,eligible_active,24237,0.9054129776980836,0.4194826092338161
oulab,4,disability,Y,eligible_active,2532,0.0945870223019164,0.5268562401263823
oulab,4,disability,N,eligible_silent,687,0.8968668407310705,0.8500727802037845
oulab,4,disability,Y,eligible_silent,79,0.1031331592689295,0.8987341772151899
oulab,6,gender,F,eligible_active,11819,0.44743516941131933,0.40181064387850074
oulab,6,gender,M,eligible_active,14596,0.5525648305886807,0.43566730611126336
oulab,6,gender,F,eligible_silent,349,0.5749588138385503,0.839541547277937
oulab,6,gender,M,eligible_silent,258,0.42504118616144976,0.9341085271317829
oulab,6,region,East Anglian Region,eligible_active,2693,0.10194964982017793,0.3965837356108429
oulab,6,region,East Midlands Region,eligible_active,1856,0.07026310808252886,0.4202586206896552
oulab,6,region,Ireland,eligible_active,1060,0.040128714745409806,0.3867924528301887
oulab,6,region,London Region,eligible_active,2471,0.0935453340904789,0.45163901254552813
oulab,6,region,North Region,eligible_active,1479,0.05599091425326519,0.37998647734956054
oulab,6,region,North Western Region,eligible_active,2225,0.08423244368729889,0.47820224719101123
oulab,6,region,Scotland,eligible_active,3035,0.11489683891728185,0.44481054365733114
