dataset,week,attribute,active_n,silent_n,active_mean,silent_mean,standardized_mean_difference
oulab,2,num_of_prev_attempts,26425,1644,0.15322611163670766,0.25608272506082724,0.2188125148781781
oulab,2,studied_credits,26425,1644,77.04011352885524,68.63138686131387,-0.21957717004274308
oulab,2,date_registration,26425,1637,-67.07704824976348,-60.0519242516799,0.14788458386784747
oulab,4,num_of_prev_attempts,26769,766,0.15816803018416825,0.20234986945169714,0.09368167733958928
oulab,4,studied_credits,26769,766,76.66218386940118,64.87597911227154,-0.30857002013303214
oulab,4,date_registration,26769,759,-66.5784302738242,-63.13702239789196,0.07244737004730713
oulab,6,num_of_prev_attempts,26415,607,0.15862199507855385,0.2158154859967051,0.12092702951180898
oulab,6,studied_credits,26415,607,76.32879045996593,66.32619439868205,-0.26293579624364816
oulab,6,date_registration,26415,600,-66.27026310808253,-65.955,0.006645946352384466
oulab,8,num_of_prev_attempts,25989,534,0.15833621916964868,0.21722846441947566,0.12460528018203418
oulab,8,studied_credits,25989,534,76.02485667012967,66.91011235955057,-0.24143437962427808
oulab,8,date_registration,25989,527,-66.04036323059756,-67.13282732447819,-0.023058513365957024
oulab,10,num_of_prev_attempts,25637,438,0.15750672855638334,0.2374429223744292,0.16978588488059237
oulab,10,studied_credits,25637,438,75.66193392362601,71.71232876712328,-0.10523211056632584
oulab,10,date_registration,25637,431,-65.87767679525686,-70.70997679814386,-0.10205635919276368
oulab,12,num_of_prev_attempts,25300,429,0.15731225296442689,0.24475524475524477,0.18578588319768474
oulab,12,studied_credits,25300,429,75.53833992094862,71.46853146853147,-0.10874998955204891
oulab,12,date_registration,25300,422,-65.79375494071147,-69.54502369668246,-0.07932379328304513
oulab,14,num_of_prev_attempts,24936,418,0.15680141161373115,0.24162679425837322,0.18052394059827134
oulab,14,studied_credits,24936,418,75.29776227141483,71.98564593301435,-0.0888213260646413
oulab,14,date_registration,24936,411,-65.64188322104587,-70.47931873479318,-0.10238399718515047
oulab,16,num_of_prev_attempts,24533,406,0.15672767293033874,0.2413793103448276,0.1799442663952536
oulab,16,studied_credits,24533,406,75.16508376472507,72.19211822660098,-0.07986306420232261
oulab,16,date_registration,24533,399,-65.4926425630783,-70.2406015037594,-0.10064725234208508
