dataset,week,model,protocol,reference_protocol,metric,delta,ci_low,ci_high,n_clusters
oulab,2,base_dffnn,activity_conditioned,cutoff_valid,auc,0.0062008814317324745,-0.004005113858702789,0.015687498208409152,22
oulab,2,base_dffnn,activity_conditioned,cutoff_valid,pr_auc_risk,0.016682570810975128,-0.008555471603874168,0.039583313804210714,22
oulab,2,base_dffnn,activity_conditioned,cutoff_valid,brier,-0.0008356433001013297,-0.0038762604099934614,0.002679091333081019,22
oulab,2,base_dffnn,activity_conditioned,cutoff_valid,ece,0.0018566272021824717,-0.007546221450403338,0.01243900081762895,22
oulab,2,base_dffnn,activity_to_cutoff_valid,cutoff_valid,auc,0.0003530856597643295,-0.0022834154481672585,0.0031485217770914663,22
oulab,2,base_dffnn,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,-0.0002974362356863436,-0.004723897789048376,0.004434451550576412,22
oulab,2,base_dffnn,activity_to_cutoff_valid,cutoff_valid,brier,0.0014409371669034388,-0.0009097409847010344,0.004037628826121667,22
oulab,2,base_dffnn,activity_to_cutoff_valid,cutoff_valid,ece,0.019313804108289985,-0.008891802713746661,0.028538246548133223,22
oulab,2,base_dffnn,cutoff_valid_to_activity,cutoff_valid,auc,0.00416559910103198,-0.0047420018607411095,0.011961354085677136,22
oulab,2,base_dffnn,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.014733569436393035,-0.009990939252224218,0.03555075764230374,22
oulab,2,base_dffnn,cutoff_valid_to_activity,cutoff_valid,brier,-0.0003158793962399764,-0.0027395907162638946,0.002198726796931021,22
oulab,2,base_dffnn,cutoff_valid_to_activity,cutoff_valid,ece,0.0019263670118528434,-0.024311826194815322,0.021597221710225725,22
oulab,2,base_dffnn,static_full,cutoff_valid,auc,0.059337047919418406,0.047780603624483046,0.07078985093191231,22
oulab,2,base_dffnn,static_full,cutoff_valid,pr_auc_risk,0.13620583420646704,0.10836023478749363,0.16535527113511284,22
oulab,2,base_dffnn,static_full,cutoff_valid,brier,-0.020874558907916535,-0.024570882997830543,-0.016421821143924306,22
oulab,2,base_dffnn,static_full,cutoff_valid,ece,-0.00060227692412591,-0.007590785533862715,0.006330500744944973,22
oulab,2,base_knn,activity_conditioned,cutoff_valid,auc,-0.0028971293087696193,-0.011975295178643241,0.0044393570782917755,22
oulab,2,base_knn,activity_conditioned,cutoff_valid,pr_auc_risk,0.006476005201864532,-0.017924450882836142,0.02865935551787775,22
oulab,2,base_knn,activity_conditioned,cutoff_valid,brier,0.00039164506510330765,-0.001688897541470124,0.0028932741840063457,22
oulab,2,base_knn,activity_conditioned,cutoff_valid,ece,-0.0077287452267069436,-0.015342537549183629,0.00015813824727757463,22
oulab,2,base_knn,activity_to_cutoff_valid,cutoff_valid,auc,-0.0007943133849898087,-0.0028878945135697165,0.0013687034424132156,22
oulab,2,base_knn,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,-0.011518310169643775,-0.020961186035449476,-0.0016814423987297931,22
oulab,2,base_knn,activity_to_cutoff_valid,cutoff_valid,brier,-0.0001464676333321202,-0.001417822456335021,0.0011231580335622278,22
oulab,2,base_knn,activity_to_cutoff_valid,cutoff_valid,ece,0.003549823648865264,-0.0117028921718949,0.0072755107448866565,22
oulab,2,base_knn,cutoff_valid_to_activity,cutoff_valid,auc,-0.006181718647436774,-0.015443968202619274,0.0013389952848791014,22
oulab,2,base_knn,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,-9.506446989404616e-05,-0.025676265903992336,0.022700428706119113,22
oulab,2,base_knn,cutoff_valid_to_activity,cutoff_valid,brier,0.0013013981110598372,-0.0016452116785152459,0.004261352329691461,22
oulab,2,base_knn,cutoff_valid_to_activity,cutoff_valid,ece,-0.00551285637740161,-0.03137281426137708,0.019560739809587634,22
oulab,2,base_knn,static_full,cutoff_valid,auc,0.06088399144357648,0.049756240064957886,0.07196220040334267,22
oulab,2,base_knn,static_full,cutoff_valid,pr_auc_risk,0.14192671848019767,0.11316353877543424,0.1687586430853931,22
oulab,2,base_knn,static_full,cutoff_valid,brier,-0.01989491418474207,-0.024011964036354725,-0.014885596397146612,22
oulab,2,base_knn,static_full,cutoff_valid,ece,-0.005803650962179763,-0.012981693914446044,0.0015728727474213064,22
oulab,2,base_lr_clickstream,activity_conditioned,cutoff_valid,auc,-0.005525542884318835,-0.016370142425138384,0.003622109994137356,22
oulab,2,base_lr_clickstream,activity_conditioned,cutoff_valid,pr_auc_risk,-0.0033675383283816585,-0.02949748650813761,0.019877538929523028,22
oulab,2,base_lr_clickstream,activity_conditioned,cutoff_valid,brier,0.003243969074275571,0.0009257861263963837,0.006018751674939235,22
oulab,2,base_lr_clickstream,activity_conditioned,cutoff_valid,ece,0.013836122593676642,-0.003358928407997554,0.019456327233765957,22
oulab,2,base_lr_clickstream,activity_to_cutoff_valid,cutoff_valid,auc,-0.0009057076203409231,-0.0022581722764019596,0.0007283715471207637,22
oulab,2,base_lr_clickstream,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,-0.0035321779567126788,-0.005929672674936373,-3.065144551877483e-05,22
oulab,2,base_lr_clickstream,activity_to_cutoff_valid,cutoff_valid,brier,0.0023064617377752117,8.564850704758792e-05,0.004769227936971161,22
oulab,2,base_lr_clickstream,activity_to_cutoff_valid,cutoff_valid,ece,0.02404664408938119,-0.004190650707358659,0.02934403132462239,22
oulab,2,base_lr_clickstream,cutoff_valid_to_activity,cutoff_valid,auc,-0.005232865642890272,-0.0153041437992387,0.003369667414916582,22
oulab,2,base_lr_clickstream,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,-0.0029565467167498305,-0.029076629999053347,0.019437788000689998,22
oulab,2,base_lr_clickstream,cutoff_valid_to_activity,cutoff_valid,brier,0.003712624939123277,0.001430327842610668,0.006028397404687917,22
oulab,2,base_lr_clickstream,cutoff_valid_to_activity,cutoff_valid,ece,0.012186279309345342,-0.025829776093511406,0.029738955050657257,22
oulab,2,base_lr_clickstream,static_full,cutoff_valid,auc,0.05951493241371175,0.047437625585135076,0.07195650380085007,22
oulab,2,base_lr_clickstream,static_full,cutoff_valid,pr_auc_risk,0.1405899327976402,0.11369491010714104,0.16835506383395563,22
oulab,2,base_lr_clickstream,static_full,cutoff_valid,brier,-0.017547030715011014,-0.021721975908025975,-0.012511480821488676,22
oulab,2,base_lr_clickstream,static_full,cutoff_valid,ece,0.00938976535686449,-0.005463742445816378,0.014875941712165481,22
oulab,2,base_lr_profile,activity_conditioned,cutoff_valid,auc,-0.014942345517211741,-0.02497781477420668,-0.0058143262780154335,22
oulab,2,base_lr_profile,activity_conditioned,cutoff_valid,pr_auc_risk,-0.019817253555444503,-0.04598747158032294,0.0020627837032661214,22
oulab,2,base_lr_profile,activity_conditioned,cutoff_valid,brier,0.0055064701107420955,0.0035642888690931873,0.007824207656719323,22
oulab,2,base_lr_profile,activity_conditioned,cutoff_valid,ece,-0.00011582615073043624,-0.009281966338170598,0.006422036598611457,22
oulab,2,base_lr_profile,activity_to_cutoff_valid,cutoff_valid,auc,-0.02213139634715433,-0.029422217809886783,-0.016405577733142652,22
oulab,2,base_lr_profile,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,-0.038631446158811755,-0.052293519854682766,-0.028394045170407868,22
oulab,2,base_lr_profile,activity_to_cutoff_valid,cutoff_valid,brier,0.006078745532547364,0.004162443544686766,0.008428078373706193,22
oulab,2,base_lr_profile,activity_to_cutoff_valid,cutoff_valid,ece,0.00906183293983539,-0.01017557787642948,0.012929639293485711,22
oulab,2,base_lr_profile,cutoff_valid_to_activity,cutoff_valid,auc,-0.017488198935259436,-0.026716058675114278,-0.0094836315272882,22
oulab,2,base_lr_profile,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,-0.0215736826321119,-0.04626682346629981,-0.001788683593012012,22
oulab,2,base_lr_profile,cutoff_valid_to_activity,cutoff_valid,brier,0.006787799625789376,0.0047723503246872336,0.00883975000448803,22
oulab,2,base_lr_profile,cutoff_valid_to_activity,cutoff_valid,ece,0.020964420359688152,-0.02368560258829488,0.03301062421143244,22
oulab,2,base_lr_profile,static_full,cutoff_valid,auc,0.05753966205325556,0.0438985419953863,0.07070313724656777,22
oulab,2,base_lr_profile,static_full,cutoff_valid,pr_auc_risk,0.14002627158756153,0.11107353764477106,0.16842180821267297,22
oulab,2,base_lr_profile,static_full,cutoff_valid,brier,-0.01609954597414992,-0.020491540689610094,-0.011317122917445094,22
oulab,2,base_lr_profile,static_full,cutoff_valid,ece,0.0004093061700697221,-0.00763545246560659,0.006436754080478737,22
oulab,2,base_lr_weekly,activity_conditioned,cutoff_valid,auc,0.002866181224224551,-0.008040892598426053,0.011262665758202273,22
oulab,2,base_lr_weekly,activity_conditioned,cutoff_valid,pr_auc_risk,0.00885213148967301,-0.019306904538668283,0.03307277783821111,22
oulab,2,base_lr_weekly,activity_conditioned,cutoff_valid,brier,0.0005324751568065167,-0.001743417595964182,0.003330132756508758,22
oulab,2,base_lr_weekly,activity_conditioned,cutoff_valid,ece,0.002196979910182229,-0.00623270276351383,0.009164580012401998,22
oulab,2,base_lr_weekly,activity_to_cutoff_valid,cutoff_valid,auc,0.00012975417738358974,-0.0007420177348893996,0.0010154806527076592,22
oulab,2,base_lr_weekly,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,0.0005325340422090985,-0.003226764517072414,0.0048456606779092555,22
oulab,2,base_lr_weekly,activity_to_cutoff_valid,cutoff_valid,brier,0.0014031461897008046,-0.0011799502578114921,0.0044922193375427025,22
oulab,2,base_lr_weekly,activity_to_cutoff_valid,cutoff_valid,ece,0.02341976855897492,-0.021076491649030048,0.02806479856904489,22
oulab,2,base_lr_weekly,cutoff_valid_to_activity,cutoff_valid,auc,0.0022674015307377893,-0.00877574535952049,0.010816206482022686,22
oulab,2,base_lr_weekly,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.007168545935855697,-0.0212623834020101,0.03150483690906458,22
oulab,2,base_lr_weekly,cutoff_valid_to_activity,cutoff_valid,brier,0.0011618546690902176,-0.0010802749332047834,0.0034269867918716255,22
oulab,2,base_lr_weekly,cutoff_valid_to_activity,cutoff_valid,ece,0.013379585288182807,-0.026990152103960094,0.02713421560505408,22
oulab,2,base_lr_weekly,static_full,cutoff_valid,auc,0.06475733099743042,0.0530329459008549,0.07712749613371164,22
oulab,2,base_lr_weekly,static_full,cutoff_valid,pr_auc_risk,0.14363545017359702,0.11727378801469256,0.17078072186588736,22
oulab,2,base_lr_weekly,static_full,cutoff_valid,brier,-0.019645199820755882,-0.02368433925270863,-0.01440025964408585,22
oulab,2,base_lr_weekly,static_full,cutoff_valid,ece,0.0009993524892489827,-0.008153474950656363,0.00756959670727016,22
oulab,2,base_rf_entropy,activity_conditioned,cutoff_valid,auc,0.00723480895523565,-0.002798628364077629,0.01581942753250264,22
oulab,2,base_rf_entropy,activity_conditioned,cutoff_valid,pr_auc_risk,0.01992962182738034,-0.006863588018873639,0.043202529310258656,22
oulab,2,base_rf_entropy,activity_conditioned,cutoff_valid,brier,-0.0019470072012809647,-0.00445487741423859,0.0010607978101716386,22
oulab,2,base_rf_entropy,activity_conditioned,cutoff_valid,ece,-0.007202798669971911,-0.012813441190746021,0.0021754905718857635,22
oulab,2,base_rf_entropy,activity_to_cutoff_valid,cutoff_valid,auc,-0.00034771189324867,-0.002009861261428872,0.0010467496523885386,22
oulab,2,base_rf_entropy,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,-0.0014749903571030787,-0.005698010608630133,0.0018216117554300246,22
oulab,2,base_rf_entropy,activity_to_cutoff_valid,cutoff_valid,brier,0.0009213260966802195,-5.183764174698513e-05,0.0020010653382810566,22
oulab,2,base_rf_entropy,activity_to_cutoff_valid,cutoff_valid,ece,0.009479331952193568,0.0004421497051504217,0.012008339446374609,22
oulab,2,base_rf_entropy,cutoff_valid_to_activity,cutoff_valid,auc,0.005406144823463022,-0.0042546493149272025,0.013499115800799285,22
oulab,2,base_rf_entropy,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.015721123892684874,-0.010301988709339368,0.03869309884030985,22
