dataset,week,protocol,reference_protocol,metric,spearman_rank_correlation,best_reference,best_protocol,ranking_reversal
oulab,2,activity_conditioned,cutoff_valid,auc,0.9636363636363637,stack_7_full,stack_7_full,False
oulab,2,activity_conditioned,cutoff_valid,pr_auc_risk,0.8727272727272729,stack_7_full,stack_7_full,False
oulab,2,activity_conditioned,cutoff_valid,brier,0.9818181818181818,stack_7_full,stack_7_full,False
oulab,2,activity_conditioned,cutoff_valid,ece,0.8363636363636365,stack_7_full,stack_7_full,False
oulab,2,activity_to_cutoff_valid,cutoff_valid,auc,0.990909090909091,stack_7_full,stack_7_full,False
oulab,2,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,0.8000000000000002,stack_7_full,base_dffnn,True
oulab,2,activity_to_cutoff_valid,cutoff_valid,brier,0.9818181818181818,stack_7_full,stack_7_full,False
oulab,2,activity_to_cutoff_valid,cutoff_valid,ece,0.8909090909090911,stack_7_full,base_lr_profile,True
oulab,2,cutoff_valid_to_activity,cutoff_valid,auc,0.9636363636363637,stack_7_full,stack_7_full,False
oulab,2,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.8363636363636365,stack_7_full,stack_7_full,False
oulab,2,cutoff_valid_to_activity,cutoff_valid,brier,0.9818181818181818,stack_7_full,stack_7_full,False
oulab,2,cutoff_valid_to_activity,cutoff_valid,ece,0.5090909090909091,stack_7_full,flat_hgb,True
oulab,2,static_full,cutoff_valid,auc,0.9818181818181818,stack_7_full,stack_7_full,False
oulab,2,static_full,cutoff_valid,pr_auc_risk,0.9090909090909091,stack_7_full,stack_7_full,False
oulab,2,static_full,cutoff_valid,brier,0.9818181818181818,stack_7_full,stack_7_full,False
oulab,2,static_full,cutoff_valid,ece,0.11818181818181818,stack_7_full,base_rf_entropy,True
oulab,4,activity_conditioned,cutoff_valid,auc,0.9727272727272729,stack_7_full,stack_7_full,False
oulab,4,activity_conditioned,cutoff_valid,pr_auc_risk,0.9363636363636365,stack_7_full,stack_7_full,False
oulab,4,activity_conditioned,cutoff_valid,brier,0.9818181818181818,stack_7_full,stack_7_full,False
oulab,4,activity_conditioned,cutoff_valid,ece,0.8909090909090911,base_lr_profile,base_lr_profile,False
oulab,4,activity_to_cutoff_valid,cutoff_valid,auc,0.990909090909091,stack_7_full,stack_7_full,False
oulab,4,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,0.9636363636363637,stack_7_full,stack_7_full,False
oulab,4,activity_to_cutoff_valid,cutoff_valid,brier,0.9727272727272729,stack_7_full,stack_7_full,False
oulab,4,activity_to_cutoff_valid,cutoff_valid,ece,0.790909090909091,base_lr_profile,stack_7_full,True
oulab,4,cutoff_valid_to_activity,cutoff_valid,auc,0.990909090909091,stack_7_full,stack_7_full,False
oulab,4,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.9454545454545454,stack_7_full,stack_7_full,False
oulab,4,cutoff_valid_to_activity,cutoff_valid,brier,0.9636363636363637,stack_7_full,stack_7_full,False
oulab,4,cutoff_valid_to_activity,cutoff_valid,ece,0.6545454545454547,base_lr_profile,stack_7_full,True
