dataset,week,model,protocol,train_protocol,eval_protocol,membership_class,n,n_clusters,risk_rate,mean_predicted_risk,auc,pr_auc_risk,brier,ece
oulab,2,base_dffnn,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_active,26425,22,0.43315042573320717,0.46425962606686055,0.699169809834648,0.6350269985548522,0.21811147677959283,0.034681978879656815
oulab,2,base_dffnn,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_silent,1644,22,0.767639902676399,0.7938277221382019,0.686123165257507,0.8638004206842118,0.16611094520143735,0.03583407085596506
oulab,2,base_dffnn,cutoff_valid,cutoff_valid,cutoff_valid,eligible_active,26425,22,0.43315042573320717,0.4378113329262496,0.6989515766478684,0.636763890698788,0.21640973190418147,0.01445254863302304
oulab,2,base_dffnn,cutoff_valid,cutoff_valid,cutoff_valid,eligible_silent,1644,22,0.767639902676399,0.7833493193750801,0.6686262145186316,0.8522777004907092,0.16886212707183418,0.02854133165972545
oulab,2,base_knn,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_active,26425,22,0.43315042573320717,0.4647645789971618,0.6491791286063637,0.5697165923738619,0.23163369173131504,0.03996927152317882
oulab,2,base_knn,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_silent,1644,22,0.767639902676399,0.6959318734793187,0.4591150090025804,0.750200684593287,0.18640338686131389,0.07170802919708029
oulab,2,base_knn,cutoff_valid,cutoff_valid,cutoff_valid,eligible_active,26425,22,0.43315042573320717,0.44102857142857144,0.6465014355177918,0.5644611853667176,0.23083913627246927,0.022866073793755954
oulab,2,base_knn,cutoff_valid,cutoff_valid,cutoff_valid,eligible_silent,1644,22,0.767639902676399,0.9102335766423356,0.49173484289045055,0.7635260228893898,0.20167548418491482,0.14767883211678834
oulab,2,base_lr_clickstream,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_active,26425,22,0.43315042573320717,0.46635267203432407,0.6426844719890157,0.5549329119131671,0.23316549999047995,0.04293523140055508
oulab,2,base_lr_clickstream,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_silent,1644,22,0.767639902676399,0.6503505737754165,0.44676031562964125,0.7448393188758329,0.19290346998674077,0.1172893289009827
oulab,2,base_lr_clickstream,cutoff_valid,cutoff_valid,cutoff_valid,eligible_active,26425,22,0.43315042573320717,0.4387862759377272,0.6431757474617881,0.5556314662122911,0.23158584926657327,0.01982626327447507
oulab,2,base_lr_clickstream,cutoff_valid,cutoff_valid,cutoff_valid,eligible_silent,1644,22,0.767639902676399,0.7713089511211672,0.4468329170849893,0.744402379186244,0.17891453802909046,0.003669048444768147
oulab,2,base_lr_profile,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_active,26425,22,0.43315042573320717,0.4637331001540178,0.6258275418657353,0.5572845526630086,0.23476139541180954,0.03399320013138001
oulab,2,base_lr_profile,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_silent,1644,22,0.767639902676399,0.4725227674000493,0.6658715078699977,0.8588761914358858,0.2561913273615489,0.295835744441177
oulab,2,base_lr_profile,cutoff_valid,cutoff_valid,cutoff_valid,eligible_active,26425,22,0.43315042573320717,0.43382856168587236,0.6254018075069206,0.5581181114140565,0.23371182120055334,0.00898120742616879
oulab,2,base_lr_profile,cutoff_valid,cutoff_valid,cutoff_valid,eligible_silent,1644,22,0.767639902676399,0.7708749176584543,0.6594079040167273,0.8538321067893913,0.16927568878452487,0.014725474541740698
oulab,2,base_lr_weekly,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_active,26425,22,0.43315042573320717,0.4638608565309222,0.6476953371623995,0.5623649091537826,0.23120599343744822,0.03071043079771502
oulab,2,base_lr_weekly,activity_to_cutoff_valid,activity_conditioned,cutoff_valid,eligible_silent,1644,22,0.767639902676399,0.7984992136241447,0.45743272956580183,0.7499741252079899,0.1803376473716855,0.03085931094774554
oulab,2,base_lr_weekly,cutoff_valid,cutoff_valid,cutoff_valid,eligible_active,26425,22,0.43315042573320717,0.4388268779811926,0.6474966490742116,0.5614992667670173,0.2298044505490976,0.007522839561499969
oulab,2,base_lr_weekly,cutoff_valid,cutoff_valid,cutoff_valid,eligible_silent,1644,22,0.767639902676399,0.7713475194240933,0.4468329170849893,0.744402379186244,0.17890873035584226,0.0037076167476942923
