dataset,week,attribute,group,protocol,n_reference,n_included,coverage,reference_risk_rate,included_risk_rate
oulab,2,imd_band,0-10%,activity_conditioned,2708,2478,0.9150664697193501,0.5709010339734121,0.5472154963680388
oulab,2,imd_band,0-10%,static_full,2708,2708,1.0,0.5709010339734121,0.5709010339734121
oulab,2,imd_band,0-10%,cutoff_valid,2708,2708,1.0,0.5709010339734121,0.5709010339734121
oulab,2,imd_band,10-20,activity_conditioned,2892,2676,0.9253112033195021,0.530774550484094,0.5085949177877429
oulab,2,imd_band,10-20,static_full,2892,2892,1.0,0.530774550484094,0.530774550484094
oulab,2,imd_band,10-20,cutoff_valid,2892,2892,1.0,0.530774550484094,0.530774550484094
oulab,2,imd_band,20-30%,activity_conditioned,3061,2838,0.9271479908526625,0.5145377327670696,0.4940098661028894
oulab,2,imd_band,20-30%,static_full,3061,3061,1.0,0.5145377327670696,0.5145377327670696
oulab,2,imd_band,20-30%,cutoff_valid,3061,3061,1.0,0.5145377327670696,0.5145377327670696
oulab,2,imd_band,30-40%,activity_conditioned,3055,2883,0.9436988543371522,0.45761047463175125,0.4380853277835588
oulab,2,imd_band,30-40%,static_full,3055,3055,1.0,0.45761047463175125,0.45761047463175125
oulab,2,imd_band,30-40%,cutoff_valid,3055,3055,1.0,0.45761047463175125,0.45761047463175125
oulab,2,imd_band,40-50%,activity_conditioned,2773,2614,0.9426613775694194,0.4532996754417598,0.43305279265493496
oulab,2,imd_band,40-50%,static_full,2773,2773,1.0,0.4532996754417598,0.4532996754417598
oulab,2,imd_band,40-50%,cutoff_valid,2773,2773,1.0,0.4532996754417598,0.4532996754417598
oulab,2,imd_band,50-60%,activity_conditioned,2741,2576,0.9398029916089019,0.4443633710324699,0.42624223602484473
oulab,2,imd_band,50-60%,static_full,2741,2741,1.0,0.4443633710324699,0.4443633710324699
oulab,2,imd_band,50-60%,cutoff_valid,2741,2741,1.0,0.4443633710324699,0.4443633710324699
oulab,2,imd_band,60-70%,activity_conditioned,2562,2430,0.9484777517564403,0.4129586260733802,0.3950617283950617
oulab,2,imd_band,60-70%,static_full,2562,2562,1.0,0.4129586260733802,0.4129586260733802
oulab,2,imd_band,60-70%,cutoff_valid,2562,2562,1.0,0.4129586260733802,0.4129586260733802
oulab,2,imd_band,70-80%,activity_conditioned,2550,2427,0.951764705882353,0.42,0.40708693860733414
oulab,2,imd_band,70-80%,static_full,2550,2550,1.0,0.42,0.42
oulab,2,imd_band,70-80%,cutoff_valid,2550,2550,1.0,0.42,0.42
oulab,2,imd_band,80-90%,activity_conditioned,2421,2297,0.9487814952498967,0.38413878562577447,0.3670004353504571
oulab,2,imd_band,80-90%,static_full,2421,2421,1.0,0.38413878562577447,0.38413878562577447
oulab,2,imd_band,80-90%,cutoff_valid,2421,2421,1.0,0.38413878562577447,0.38413878562577447
oulab,2,imd_band,90-100%,activity_conditioned,2269,2192,0.9660643455266638,0.35698545614808286,0.34215328467153283
oulab,2,imd_band,90-100%,static_full,2269,2269,1.0,0.35698545614808286,0.35698545614808286
oulab,2,imd_band,90-100%,cutoff_valid,2269,2269,1.0,0.35698545614808286,0.35698545614808286
oulab,2,imd_band,nan,activity_conditioned,1037,1014,0.9778206364513018,0.29893924783027964,0.28895463510848124
oulab,2,imd_band,nan,static_full,1037,1037,1.0,0.29893924783027964,0.29893924783027964
oulab,2,imd_band,nan,cutoff_valid,1037,1037,1.0,0.29893924783027964,0.29893924783027964
oulab,2,disability,N,activity_conditioned,25392,23914,0.9417926906112162,0.44254095778197855,0.42280672409467257
oulab,2,disability,N,static_full,25392,25392,1.0,0.44254095778197855,0.44254095778197855
oulab,2,disability,N,cutoff_valid,25392,25392,1.0,0.44254095778197855,0.44254095778197855
oulab,2,disability,Y,activity_conditioned,2677,2511,0.9379902876354128,0.5494957041464326,0.5316606929510155
oulab,2,disability,Y,static_full,2677,2677,1.0,0.5494957041464326,0.5494957041464326
oulab,2,disability,Y,cutoff_valid,2677,2677,1.0,0.5494957041464326,0.5494957041464326
oulab,2,gender,F,activity_conditioned,12576,11645,0.9259701017811705,0.4345578880407125,0.41099184199227135
oulab,2,gender,F,static_full,12576,12576,1.0,0.4345578880407125,0.4345578880407125
oulab,2,gender,F,cutoff_valid,12576,12576,1.0,0.4345578880407125,0.4345578880407125
oulab,2,gender,M,activity_conditioned,15493,14780,0.9539792164203188,0.46750145226876655,0.4506089309878214
oulab,2,gender,M,static_full,15493,15493,1.0,0.46750145226876655,0.46750145226876655
oulab,2,gender,M,cutoff_valid,15493,15493,1.0,0.46750145226876655,0.46750145226876655
oulab,2,age_band,0-35,activity_conditioned,19585,18457,0.9424049017104927,0.4731171815164667,0.4540282819526467
oulab,2,age_band,0-35,static_full,19585,19585,1.0,0.4731171815164667,0.4731171815164667
oulab,2,age_band,0-35,cutoff_valid,19585,19585,1.0,0.4731171815164667,0.4731171815164667
oulab,2,age_band,35-55,activity_conditioned,8286,7776,0.9384503982621288,0.40755491189958964,0.3864454732510288
oulab,2,age_band,35-55,static_full,8286,8286,1.0,0.40755491189958964,0.40755491189958964
oulab,2,age_band,35-55,cutoff_valid,8286,8286,1.0,0.40755491189958964,0.40755491189958964
oulab,2,age_band,55<=,activity_conditioned,198,192,0.9696969696969697,0.3282828282828283,0.3177083333333333
oulab,2,age_band,55<=,static_full,198,198,1.0,0.3282828282828283,0.3282828282828283
oulab,2,age_band,55<=,cutoff_valid,198,198,1.0,0.3282828282828283,0.3282828282828283
oulab,2,highest_education,A Level or Equivalent,activity_conditioned,12239,11628,0.9500776207206472,0.4037094533867146,0.3863949088407293
oulab,2,highest_education,A Level or Equivalent,static_full,12239,12239,1.0,0.4037094533867146,0.4037094533867146
oulab,2,highest_education,A Level or Equivalent,cutoff_valid,12239,12239,1.0,0.4037094533867146,0.4037094533867146
oulab,2,highest_education,HE Qualification,activity_conditioned,4211,4029,0.9567798622654952,0.37022085015435763,0.352692975924547
oulab,2,highest_education,HE Qualification,static_full,4211,4211,1.0,0.37022085015435763,0.37022085015435763
oulab,2,highest_education,HE Qualification,cutoff_valid,4211,4211,1.0,0.37022085015435763,0.37022085015435763
oulab,2,highest_education,Lower Than A Level,activity_conditioned,11054,10240,0.9263614981002352,0.5383571557807129,0.51806640625
oulab,2,highest_education,Lower Than A Level,static_full,11054,11054,1.0,0.5383571557807129,0.5383571557807129
