dataset,week,model,contrast,left_protocol,right_protocol,metric,delta,ci_low,ci_high,n_clusters,cluster_unit,identity_residual
oulab,2,base_dffnn,joint_population_difference,activity_conditioned,cutoff_valid,auc,0.0062008814317324745,-0.004678680044605521,0.015220359015283591,22,presentation,0.0
oulab,2,base_dffnn,joint_population_difference,activity_conditioned,cutoff_valid,pr_auc_risk,0.016682570810975128,-0.008657548967578435,0.03884926210134308,22,presentation,0.0
oulab,2,base_dffnn,joint_population_difference,activity_conditioned,cutoff_valid,brier,-0.0008356433001013297,-0.0037633271625758654,0.0027421759997304208,22,presentation,0.0
oulab,2,base_dffnn,joint_population_difference,activity_conditioned,cutoff_valid,ece,0.0018566272021824717,-0.0076799741401891025,0.011909923625432244,22,presentation,0.0
oulab,2,base_dffnn,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,auc,0.005847795771968145,-0.0035400982051453146,0.013766402131762874,22,presentation,0.0
oulab,2,base_dffnn,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,pr_auc_risk,0.01698000704666147,-0.00602606242752419,0.036762879494284674,22,presentation,0.0
oulab,2,base_dffnn,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,brier,-0.0022765804670047685,-0.004651499296577706,0.0005783267180548043,22,presentation,0.0
oulab,2,base_dffnn,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,ece,-0.017457176906107513,-0.02428494426544504,0.0026147546090958787,22,presentation,0.0
oulab,2,base_dffnn,training_population_component,activity_to_cutoff_valid,cutoff_valid,auc,0.0003530856597643295,-0.0025174035881227546,0.0031221046568411623,22,presentation,0.0
oulab,2,base_dffnn,training_population_component,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,-0.0002974362356863436,-0.004778485808330504,0.004587808166111572,22,presentation,0.0
oulab,2,base_dffnn,training_population_component,activity_to_cutoff_valid,cutoff_valid,brier,0.0014409371669034388,-0.0009182624812737614,0.003998849112440613,22,presentation,0.0
oulab,2,base_dffnn,training_population_component,activity_to_cutoff_valid,cutoff_valid,ece,0.019313804108289985,-0.008446461193707535,0.028348859745124525,22,presentation,0.0
oulab,2,base_dffnn,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,auc,0.002035282330700494,-0.0007174313178495345,0.0045834551651919185,22,presentation,0.0
oulab,2,base_dffnn,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,pr_auc_risk,0.0019490013745820933,-0.002904042624087963,0.006376871142548812,22,presentation,0.0
oulab,2,base_dffnn,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,brier,-0.0005197639038613533,-0.0030199726996479417,0.0022671077532592497,22,presentation,0.0
oulab,2,base_dffnn,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,ece,-6.973980967037163e-05,-0.026681860846603705,0.02939686312447732,22,presentation,0.0
oulab,2,base_dffnn,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,auc,0.00416559910103198,-0.005042837297016064,0.011899816184323756,22,presentation,0.0
oulab,2,base_dffnn,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.014733569436393035,-0.009055553859705556,0.03507305848949323,22,presentation,0.0
oulab,2,base_dffnn,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,brier,-0.0003158793962399764,-0.0026612168612481736,0.0022624876782822586,22,presentation,0.0
oulab,2,base_dffnn,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,ece,0.0019263670118528434,-0.024504042065175854,0.02164877188713775,22,presentation,0.0
oulab,2,base_dffnn,evaluation_population_shapley,combination,combination,auc,0.005006697436500063,-0.004319184553381207,0.012767169178025697,22,presentation,0.0
oulab,2,base_dffnn,evaluation_population_shapley,combination,combination,pr_auc_risk,0.015856788241527253,-0.007475523168172224,0.03571889181082,22,presentation,0.0
oulab,2,base_dffnn,evaluation_population_shapley,combination,combination,brier,-0.0012962299316223724,-0.0036008423916290885,0.0014204285363426882,22,presentation,0.0
oulab,2,base_dffnn,evaluation_population_shapley,combination,combination,ece,-0.007765404947127335,-0.02390532880364491,0.011570046446425062,22,presentation,0.0
oulab,2,base_dffnn,training_population_shapley,combination,combination,auc,0.0011941839952324118,-0.0015535310000405326,0.0038550802914545847,22,presentation,0.0
oulab,2,base_dffnn,training_population_shapley,combination,combination,pr_auc_risk,0.0008257825694478749,-0.0037140184692947137,0.00530949844471876,22,presentation,0.0
oulab,2,base_dffnn,training_population_shapley,combination,combination,brier,0.00046058663152104273,-0.0019706111845672223,0.0031250813561879164,22,presentation,0.0
oulab,2,base_dffnn,training_population_shapley,combination,combination,ece,0.009622032149309807,-0.01734732003367473,0.028721214716022275,22,presentation,0.0
oulab,2,base_knn,joint_population_difference,activity_conditioned,cutoff_valid,auc,-0.0028971293087696193,-0.012054104230769202,0.004408970600515142,22,presentation,0.0
oulab,2,base_knn,joint_population_difference,activity_conditioned,cutoff_valid,pr_auc_risk,0.006476005201864532,-0.018291931995015973,0.02887486451725883,22,presentation,0.0
oulab,2,base_knn,joint_population_difference,activity_conditioned,cutoff_valid,brier,0.00039164506510330765,-0.0018025321574376418,0.002903619455394913,22,presentation,0.0
oulab,2,base_knn,joint_population_difference,activity_conditioned,cutoff_valid,ece,-0.0077287452267069436,-0.015193864053598172,0.0009182476599949293,22,presentation,0.0
oulab,2,base_knn,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,auc,-0.0021028159237798105,-0.010406018137787229,0.004525979235096967,22,presentation,0.0
oulab,2,base_knn,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,pr_auc_risk,0.017994315371508307,-0.0008345525371260651,0.03412479510885032,22,presentation,0.0
oulab,2,base_knn,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,brier,0.0005381126984354279,-0.001143942391578162,0.002407775620165489,22,presentation,0.0
oulab,2,base_knn,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,ece,-0.011278568875572208,-0.020111962393757947,0.010171062346753518,22,presentation,0.0
oulab,2,base_knn,training_population_component,activity_to_cutoff_valid,cutoff_valid,auc,-0.0007943133849898087,-0.003070132097558467,0.0012462090591222209,22,presentation,0.0
oulab,2,base_knn,training_population_component,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,-0.011518310169643775,-0.020721383808344512,-0.001233949124007138,22,presentation,0.0
oulab,2,base_knn,training_population_component,activity_to_cutoff_valid,cutoff_valid,brier,-0.0001464676333321202,-0.0014414692554374138,0.001106395657536629,22,presentation,0.0
oulab,2,base_knn,training_population_component,activity_to_cutoff_valid,cutoff_valid,ece,0.003549823648865264,-0.011780060410874425,0.007154947883510503,22,presentation,0.0
oulab,2,base_knn,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,auc,0.0032845893386671543,0.0006903435453137208,0.005547429499771134,22,presentation,0.0
oulab,2,base_knn,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,pr_auc_risk,0.006571069671758578,0.003131863464552956,0.00995604202842709,22,presentation,0.0
oulab,2,base_knn,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,brier,-0.0009097530459565295,-0.002915920667728713,0.0012207643474077994,22,presentation,0.0
oulab,2,base_knn,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,ece,-0.0022158888493053336,-0.022224795461751753,0.02021870325467573,22,presentation,0.0
oulab,2,base_knn,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,auc,-0.006181718647436774,-0.015585549694689371,0.0014038935139089432,22,presentation,0.0
oulab,2,base_knn,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,-9.506446989404616e-05,-0.025527625762922026,0.022674642394142495,22,presentation,0.0
oulab,2,base_knn,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,brier,0.0013013981110598372,-0.001871545288751994,0.004417274520323576,22,presentation,0.0
oulab,2,base_knn,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,ece,-0.00551285637740161,-0.03125120959855082,0.02081218874391084,22,presentation,0.0
oulab,2,base_knn,evaluation_population_shapley,combination,combination,auc,-0.004142267285608292,-0.012851060362703642,0.0029402059121728893,22,presentation,0.0
oulab,2,base_knn,evaluation_population_shapley,combination,combination,pr_auc_risk,0.00894962545080713,-0.012853089329567455,0.027827130997344265,22,presentation,0.0
oulab,2,base_knn,evaluation_population_shapley,combination,combination,brier,0.0009197554047476325,-0.0013783203089888243,0.0033166090119069193,22,presentation,0.0
oulab,2,base_knn,evaluation_population_shapley,combination,combination,ece,-0.008395712626486909,-0.02488069936596087,0.014977318791393858,22,presentation,0.0
oulab,2,base_knn,training_population_shapley,combination,combination,auc,0.0012451379768386728,-0.0009219444411474945,0.003149714678459189,22,presentation,0.0
oulab,2,base_knn,training_population_shapley,combination,combination,pr_auc_risk,-0.0024736202489425985,-0.006777158354352833,0.0024348043376719868,22,presentation,0.0
oulab,2,base_knn,training_population_shapley,combination,combination,brier,-0.0005281103396443249,-0.0019176983029947196,0.0009045169556907218,22,presentation,0.0
oulab,2,base_knn,training_population_shapley,combination,combination,ece,0.0006669673997799653,-0.016616584818178216,0.012849046631035267,22,presentation,0.0
oulab,2,base_lr_clickstream,joint_population_difference,activity_conditioned,cutoff_valid,auc,-0.005525542884318835,-0.016589052517364738,0.0035091700577931074,22,presentation,0.0
oulab,2,base_lr_clickstream,joint_population_difference,activity_conditioned,cutoff_valid,pr_auc_risk,-0.0033675383283816585,-0.030019619805322337,0.020270533090838882,22,presentation,0.0
oulab,2,base_lr_clickstream,joint_population_difference,activity_conditioned,cutoff_valid,brier,0.003243969074275571,0.0009298086776530296,0.005986608957112173,22,presentation,0.0
oulab,2,base_lr_clickstream,joint_population_difference,activity_conditioned,cutoff_valid,ece,0.013836122593676642,-0.003163251290769192,0.020157379750099347,22,presentation,0.0
