dataset,week,model,protocol,reference_protocol,budget,n_candidates,n_reference,n_flagged,n_actionable_candidates,n_actionable_flagged,n_invalid_flagged,precision,actionable_precision,precision_among_actionable,wasted_budget_rate,recall_protocol,coverage_adjusted_recall,candidate_coverage
oulab,2,base_lr_profile,activity_conditioned,cutoff_valid,0.01,28070,28069,281,26425,246,35,0.7864768683274022,0.6619217081850534,0.7560975609756098,0.12455516014234876,0.016884406753762703,0.014636449480642116,0.9414300473832342
oulab,2,base_lr_profile,activity_to_cutoff_valid,cutoff_valid,0.01,28069,28069,281,28069,281,0,0.7544483985765125,0.7544483985765125,0.7544483985765125,0.0,0.01668240478438779,0.01668240478438779,1.0
oulab,2,base_lr_profile,cutoff_valid,cutoff_valid,0.01,28069,28069,281,28069,281,0,0.8896797153024911,0.8896797153024911,0.8896797153024911,0.0,0.019672647151400692,0.019672647151400692,1.0
oulab,2,base_lr_profile,cutoff_valid_to_activity,cutoff_valid,0.01,28070,28069,281,26425,253,28,0.7758007117437722,0.6761565836298933,0.7509881422924901,0.099644128113879,0.016655206662082665,0.014951211835064527,0.9414300473832342
oulab,2,base_lr_profile,static_full,cutoff_valid,0.01,32593,28069,281,28069,88,193,0.9679715302491103,0.28113879003558717,0.8977272727272727,0.6868327402135231,0.01580660158066016,0.0062165564998426185,1.0
oulab,2,base_lr_profile,activity_conditioned,cutoff_valid,0.05,28070,28069,1404,26425,1246,158,0.7051282051282052,0.5925925925925926,0.6677367576243981,0.11253561253561253,0.0756360302544121,0.06547056971986151,0.9414300473832342
oulab,2,base_lr_profile,activity_to_cutoff_valid,cutoff_valid,0.05,28069,28069,1404,28069,1404,0,0.6830484330484331,0.6830484330484331,0.6830484330484331,0.0,0.07546427447277305,0.07546427447277305,1.0
oulab,2,base_lr_profile,cutoff_valid,cutoff_valid,0.05,28069,28069,1404,28069,1404,0,0.8027065527065527,0.8027065527065527,0.8027065527065527,0.0,0.08868429335851433,0.08868429335851433,1.0
oulab,2,base_lr_profile,cutoff_valid_to_activity,cutoff_valid,0.05,28070,28069,1404,26425,1273,131,0.6994301994301995,0.6061253561253561,0.6684996072270227,0.0933048433048433,0.075024830009932,0.06696569090336796,0.9414300473832342
oulab,2,base_lr_profile,static_full,cutoff_valid,0.05,32593,28069,1404,28069,473,931,0.9458689458689459,0.2827635327635328,0.8393234672304439,0.6631054131054132,0.07717340771734077,0.0312401636764243,1.0
oulab,2,base_lr_profile,activity_conditioned,cutoff_valid,0.1,28070,28069,2808,26425,2517,291,0.6688034188034188,0.5651709401709402,0.6305125148986889,0.10363247863247864,0.14347925739170295,0.1248819641170916,0.9414300473832342
oulab,2,base_lr_profile,activity_to_cutoff_valid,cutoff_valid,0.1,28069,28069,2808,28069,2808,0,0.6517094017094017,0.6517094017094017,0.6517094017094017,0.0,0.14400377714825308,0.14400377714825308,1.0
oulab,2,base_lr_profile,cutoff_valid,cutoff_valid,0.1,28069,28069,2808,28069,2808,0,0.7336182336182336,0.7336182336182336,0.7336182336182336,0.0,0.1621026125275417,0.1621026125275417,1.0
oulab,2,base_lr_profile,cutoff_valid_to_activity,cutoff_valid,0.1,28070,28069,2808,26425,2553,255,0.667022792022792,0.5762108262108262,0.6337641989815903,0.09081196581196581,0.1430972572389029,0.1273213723638653,0.9414300473832342
oulab,2,base_lr_profile,static_full,cutoff_valid,0.1,32593,28069,2808,28069,1006,1802,0.9291310541310541,0.28846153846153844,0.805168986083499,0.6417378917378918,0.15161552766155276,0.06373937677053824,1.0
oulab,2,base_lr_profile,activity_conditioned,cutoff_valid,0.2,28070,28069,5612,26425,5104,508,0.6272273699215966,0.5367070563079116,0.5901253918495298,0.09052031361368496,0.268928107571243,0.23701605288007555,0.9414300473832342
oulab,2,base_lr_profile,activity_to_cutoff_valid,cutoff_valid,0.2,28069,28069,5612,28069,5612,0,0.6154668567355667,0.6154668567355667,0.6154668567355667,0.0,0.27179729304375194,0.27179729304375194,1.0
oulab,2,base_lr_profile,cutoff_valid,cutoff_valid,0.2,28069,28069,5612,28069,5612,0,0.6628652886671419,0.6628652886671419,0.6628652886671419,0.0,0.2927289896128423,0.2927289896128423,1.0
oulab,2,base_lr_profile,cutoff_valid_to_activity,cutoff_valid,0.2,28070,28069,5612,26425,5158,454,0.6236635780470421,0.5427655024946543,0.5905389685924777,0.08089807555238775,0.2674001069600428,0.23969153289266604,0.9414300473832342
oulab,2,base_lr_profile,static_full,cutoff_valid,0.2,32593,28069,5612,28069,2786,2826,0.8611903064861012,0.3592302209550962,0.7236180904522613,0.5035637918745546,0.28085774058577406,0.15864022662889518,1.0
oulab,2,base_rf_gini,activity_conditioned,cutoff_valid,0.01,28070,28069,281,26425,177,104,0.8576512455516014,0.4875444839857651,0.7740112994350282,0.3701067615658363,0.018412407364962947,0.01078061063896758,0.9414300473832342
oulab,2,base_rf_gini,activity_to_cutoff_valid,cutoff_valid,0.01,28069,28069,281,28069,281,0,0.8327402135231317,0.8327402135231317,0.8327402135231317,0.0,0.018413597733711047,0.018413597733711047,1.0
oulab,2,base_rf_gini,cutoff_valid,cutoff_valid,0.01,28069,28069,281,28069,281,0,0.8434163701067615,0.8434163701067615,0.8434163701067615,0.0,0.018649669499527857,0.018649669499527857,1.0
oulab,2,base_rf_gini,cutoff_valid_to_activity,cutoff_valid,0.01,28070,28069,281,26425,206,75,0.8434163701067615,0.5765124555160143,0.7864077669902912,0.2669039145907473,0.018106807242722896,0.012747875354107648,0.9414300473832342
oulab,2,base_rf_gini,static_full,cutoff_valid,0.01,32593,28069,281,28069,35,246,0.9786476868327402,0.10320284697508897,0.8285714285714286,0.8754448398576512,0.01598093909809391,0.00228202706956248,1.0
oulab,2,base_rf_gini,activity_conditioned,cutoff_valid,0.05,28070,28069,1404,26425,973,431,0.8561253561253561,0.5491452991452992,0.7923946557040082,0.306980056980057,0.09183283673313469,0.06067044381491973,0.9414300473832342
oulab,2,base_rf_gini,activity_to_cutoff_valid,cutoff_valid,0.05,28069,28069,1404,28069,1404,0,0.8247863247863247,0.8247863247863247,0.8247863247863247,0.0,0.091123701605288,0.091123701605288,1.0
oulab,2,base_rf_gini,cutoff_valid,cutoff_valid,0.05,28069,28069,1404,28069,1404,0,0.8233618233618234,0.8233618233618234,0.8233618233618234,0.0,0.0909663204280768,0.0909663204280768,1.0
oulab,2,base_rf_gini,cutoff_valid_to_activity,cutoff_valid,0.05,28070,28069,1404,26425,1061,343,0.8525641025641025,0.6082621082621082,0.8049010367577757,0.2443019943019943,0.09145083658033464,0.06720176266918476,0.9414300473832342
oulab,2,base_rf_gini,static_full,cutoff_valid,0.05,32593,28069,1404,28069,319,1085,0.9494301994301995,0.17663817663817663,0.7774294670846394,0.7727920227920227,0.07746397024639702,0.019515265974189486,1.0
oulab,2,base_rf_gini,activity_conditioned,cutoff_valid,0.1,28070,28069,2808,26425,2120,688,0.8123219373219374,0.5673076923076923,0.7514150943396226,0.245014245014245,0.17426846970738788,0.1253541076487252,0.9414300473832342
oulab,2,base_rf_gini,activity_to_cutoff_valid,cutoff_valid,0.1,28069,28069,2808,28069,2808,0,0.7873931623931624,0.7873931623931624,0.7873931623931624,0.0,0.17398489140698772,0.17398489140698772,1.0
oulab,2,base_rf_gini,cutoff_valid,cutoff_valid,0.1,28069,28069,2808,28069,2808,0,0.7895299145299145,0.7895299145299145,0.7895299145299145,0.0,0.17445703493862133,0.17445703493862133,1.0
oulab,2,base_rf_gini,cutoff_valid_to_activity,cutoff_valid,0.1,28070,28069,2808,26425,2212,596,0.8044871794871795,0.5922364672364673,0.7518083182640145,0.21225071225071226,0.17258766903506761,0.13086244885111742,0.9414300473832342
oulab,2,base_rf_gini,static_full,cutoff_valid,0.1,32593,28069,2808,28069,851,1957,0.9351851851851852,0.23824786324786323,0.7861339600470035,0.6969373219373219,0.15260344026034403,0.05264400377714825,1.0
oulab,2,base_rf_gini,activity_conditioned,cutoff_valid,0.2,28070,28069,5612,26425,4600,1012,0.7450106913756237,0.5646828225231646,0.6889130434782609,0.18032786885245902,0.3194285277714111,0.2493704752911552,0.9414300473832342
oulab,2,base_rf_gini,activity_to_cutoff_valid,cutoff_valid,0.2,28069,28069,5612,28069,5612,0,0.7305773342836779,0.7305773342836779,0.7305773342836779,0.0,0.32263141328297135,0.32263141328297135,1.0
oulab,2,base_rf_gini,cutoff_valid,cutoff_valid,0.2,28069,28069,5612,28069,5612,0,0.7352102637205987,0.7352102637205987,0.7352102637205987,0.0,0.32467736858671703,0.32467736858671703,1.0
