dataset,week,protocol,model,n,n_clusters,cluster_unit,auc_mean,auc_ci_low,auc_ci_high,pr_auc_risk_mean,pr_auc_risk_ci_low,pr_auc_risk_ci_high,brier_mean,brier_ci_low,brier_ci_high,ece_mean,ece_ci_low,ece_ci_high
oulab,2,activity_conditioned,base_lr_profile,28070,22,presentation,0.6376624846357835,0.6256976638196173,0.6496739893996986,0.5991264683834652,0.5740585750395486,0.621161891856761,0.23446202307751804,0.2303633269589809,0.23885049320134613,0.008095806722851335,0.0066885118909198,0.03641444078652777
oulab,2,activity_conditioned,base_rf_gini,28070,22,presentation,0.7345300277950563,0.7217517575602358,0.7458408004572741,0.7087085305980505,0.6727293887336613,0.737243206315112,0.20800036129730817,0.20401272934453152,0.21185764233696627,0.02465589211984262,0.016573877627188368,0.04691808859502534
oulab,2,activity_conditioned,stack_7_full,28070,22,presentation,0.7423896025295678,0.7297047798485543,0.7531367938754007,0.72031036890735,0.6856945190462085,0.745938566221582,0.20436277351098517,0.20051286817878836,0.20778499828423885,0.012414477711481244,0.010548175838372769,0.025365805540721154
oulab,2,activity_conditioned,temporal_hgb,28070,22,presentation,0.6779627612858989,0.6515730838972729,0.7024214978704862,0.6354525384548277,0.5814245766224083,0.6837942874652942,0.22494648211724924,0.2191697407053464,0.2316404284491261,0.004047884333007763,0.005325773550226021,0.04569974643030529
oulab,2,activity_to_cutoff_valid,base_lr_profile,28069,22,presentation,0.6306779785630054,0.6174817127304165,0.6437226972792086,0.5804665108917708,0.5501676434745948,0.6065748944557675,0.23497823570400306,0.23121898855745462,0.23887593874232133,0.015018608111430192,0.008081877904339218,0.041591859319714646
oulab,2,activity_to_cutoff_valid,base_rf_gini,28069,22,presentation,0.7259490957902722,0.7133520510154185,0.7372899237246389,0.6853262467121903,0.6474918986684458,0.7150123720796921,0.2107241411539049,0.20679490993748167,0.2148327502117045,0.034572475209003986,0.013514196731066234,0.061712660023929784
oulab,2,activity_to_cutoff_valid,stack_7_full,28069,22,presentation,0.7337708255480315,0.7214721083245696,0.7440530079924274,0.6972976137753795,0.6604383408830615,0.7249231265635039,0.20687491900982183,0.20319542533509471,0.21043912518415056,0.01812285480042975,0.008711486851022139,0.03713628090413422
oulab,2,activity_to_cutoff_valid,temporal_hgb,28069,22,presentation,0.673298834571943,0.6510573755426747,0.6968975611042834,0.619081345423061,0.5726311579854004,0.6682430150220525,0.2258542630340895,0.21904862667898525,0.23358228446643792,0.023404700762565494,0.007125496658605581,0.07008361115146806
oulab,2,cutoff_valid,base_lr_profile,28069,22,presentation,0.653446750235959,0.6387096251917607,0.6686870615246406,0.6197407344593205,0.589400718628773,0.6473299376349023,0.22869563388293404,0.22371882300875795,0.2339228151712565,0.008378631127080158,0.007165352092676075,0.037392960021220875
oulab,2,cutoff_valid,base_rf_gini,28069,22,presentation,0.7263818709752206,0.7142495155820117,0.7376623210175924,0.686760129748244,0.6499760034573755,0.7160392606993256,0.2103071012248528,0.20642710541255974,0.2140735595050355,0.028205780379395497,0.015209476012007332,0.055191669146365085
