dataset,week,membership_class,n,risk_rate,table,n_activity,n_cutoff_valid,known_outcomes_in_activity,eligible_silent_excluded,eligible_active,activity_contamination_rate,silent_exclusion_rate,cohort_jaccard,silent_risk_rate,eligible_active_risk_rate,risk_concentration_ratio
oulab,2,eligible_active,26425.0,0.43315042573320717,flow,,,,,,,,,,,
oulab,2,eligible_silent,1644.0,0.767639902676399,flow,,,,,,,,,,,
oulab,2,not_yet_registered,59.0,0.5932203389830508,flow,,,,,,,,,,,
oulab,2,outcome_realized_active,1639.0,1.0,flow,,,,,,,,,,,
oulab,2,outcome_realized_silent,2826.0,1.0,flow,,,,,,,,,,,
oulab,4,eligible_active,26769.0,0.429638761253689,flow,,,,,,,,,,,
oulab,4,eligible_silent,766.0,0.8550913838120104,flow,,,,,,,,,,,
oulab,4,not_yet_registered,18.0,0.6666666666666666,flow,,,,,,,,,,,
oulab,4,outcome_realized_active,2174.0,1.0,flow,,,,,,,,,,,
oulab,4,outcome_realized_silent,2866.0,1.0,flow,,,,,,,,,,,
oulab,6,eligible_active,26415.0,0.4205186447094454,flow,,,,,,,,,,,
oulab,6,eligible_silent,607.0,0.8797364085667215,flow,,,,,,,,,,,
oulab,6,not_yet_registered,12.0,0.5833333333333334,flow,,,,,,,,,,,
oulab,6,outcome_realized_active,2671.0,1.0,flow,,,,,,,,,,,
oulab,6,outcome_realized_silent,2888.0,1.0,flow,,,,,,,,,,,
oulab,8,eligible_active,25989.0,0.4098657124167917,flow,,,,,,,,,,,
oulab,8,eligible_silent,534.0,0.9157303370786517,flow,,,,,,,,,,,
oulab,8,not_yet_registered,9.0,0.6666666666666666,flow,,,,,,,,,,,
oulab,8,outcome_realized_active,3170.0,1.0,flow,,,,,,,,,,,
oulab,8,outcome_realized_silent,2891.0,1.0,flow,,,,,,,,,,,
oulab,10,eligible_active,25637.0,0.40024183796856105,flow,,,,,,,,,,,
oulab,10,eligible_silent,438.0,0.9840182648401826,flow,,,,,,,,,,,
oulab,10,not_yet_registered,7.0,0.7142857142857143,flow,,,,,,,,,,,
oulab,10,outcome_realized_active,3602.0,1.0,flow,,,,,,,,,,,
oulab,10,outcome_realized_silent,2909.0,1.0,flow,,,,,,,,,,,
oulab,12,eligible_active,25300.0,0.39217391304347826,flow,,,,,,,,,,,
oulab,12,eligible_silent,429.0,0.986013986013986,flow,,,,,,,,,,,
oulab,12,not_yet_registered,4.0,0.75,flow,,,,,,,,,,,
oulab,12,outcome_realized_active,3943.0,1.0,flow,,,,,,,,,,,
oulab,12,outcome_realized_silent,2917.0,1.0,flow,,,,,,,,,,,
oulab,14,eligible_active,24936.0,0.3831809432146295,flow,,,,,,,,,,,
oulab,14,eligible_silent,418.0,0.992822966507177,flow,,,,,,,,,,,
oulab,14,not_yet_registered,4.0,0.75,flow,,,,,,,,,,,
oulab,14,outcome_realized_active,4315.0,1.0,flow,,,,,,,,,,,
oulab,14,outcome_realized_silent,2920.0,1.0,flow,,,,,,,,,,,
oulab,16,eligible_active,24533.0,0.3730077854318673,flow,,,,,,,,,,,
oulab,16,eligible_silent,406.0,0.9926108374384236,flow,,,,,,,,,,,
oulab,16,not_yet_registered,2.0,1.0,flow,,,,,,,,,,,
oulab,16,outcome_realized_active,4728.0,1.0,flow,,,,,,,,,,,
oulab,16,outcome_realized_silent,2924.0,1.0,flow,,,,,,,,,,,
oulab,2,,,,indices,28070.0,28069.0,1639.0,1644.0,26425.0,0.058389739935874596,0.05856995261676583,0.8893114356868816,0.767639902676399,0.43315042573320717,1.7722247447338673
oulab,4,,,,indices,28956.0,27535.0,2174.0,766.0,26769.0,0.07507943086061611,0.027819139277283456,0.9006459861382141,0.8550913838120104,0.429638761253689,1.9902566084048088
oulab,6,,,,indices,29095.0,27022.0,2671.0,607.0,26415.0,0.09180271524316892,0.02246317815113611,0.8893340515790182,0.8797364085667215,0.4205186447094454,2.092027118499275
oulab,8,,,,indices,29166.0,26523.0,3170.0,534.0,25989.0,0.10868819858739628,0.020133469064585453,0.8750505050505051,0.9157303370786517,0.4098657124167917,2.234220402772914
oulab,10,,,,indices,29244.0,26075.0,3602.0,438.0,25637.0,0.12317056490220216,0.01679769894534995,0.8637221211508659,0.9840182648401826,0.40024183796856105,2.4585592296762266
oulab,12,,,,indices,29246.0,25729.0,3943.0,429.0,25300.0,0.134821855980305,0.016673792218896963,0.8525695029486099,0.986013986013986,0.39217391304347826,2.5142263501465276
oulab,14,,,,indices,29254.0,25354.0,4315.0,418.0,24936.0,0.1475011964175839,0.016486550445689044,0.8403882448099218,0.992822966507177,0.3831809432146295,2.5910029819804254
oulab,16,,,,indices,29263.0,24939.0,4728.0,406.0,24533.0,0.16156921710009226,0.016279722522956012,0.8268900198860764,0.9926108374384236,0.3730077854318673,2.6610995164328317
