dataset,week,model,protocol,reference_protocol,metric,delta,ci_low,ci_high,n_clusters
oulab,2,base_lr_profile,activity_conditioned,cutoff_valid,auc,-0.01578426560017554,-0.025279105621797172,-0.007204739921524932,22
oulab,2,base_lr_profile,activity_conditioned,cutoff_valid,pr_auc_risk,-0.02061426607585537,-0.04651486870473239,0.0008641001699561023,22
oulab,2,base_lr_profile,activity_conditioned,cutoff_valid,brier,0.0057663891945839985,0.0039006431791929067,0.008009087308237425,22
oulab,2,base_lr_profile,activity_conditioned,cutoff_valid,ece,-0.00028282440422882325,-0.007369104467145685,0.005687771661921604,22
oulab,2,base_lr_profile,activity_to_cutoff_valid,cutoff_valid,auc,-0.022768771672953547,-0.029772120207674727,-0.017334109899040266,22
oulab,2,base_lr_profile,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,-0.039274223567549726,-0.052510612570799794,-0.028886130989291506,22
oulab,2,base_lr_profile,activity_to_cutoff_valid,cutoff_valid,brier,0.006282601821069017,0.004429973312629493,0.008584611670888137,22
oulab,2,base_lr_profile,activity_to_cutoff_valid,cutoff_valid,ece,0.006639976984350034,-0.01100429731838555,0.013068159481557966,22
oulab,2,base_lr_profile,cutoff_valid_to_activity,cutoff_valid,auc,-0.017451480418319676,-0.026450770034651957,-0.0096479032568721,22
oulab,2,base_lr_profile,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,-0.0219797781768587,-0.04633003280880473,-0.002069417604288098,22
oulab,2,base_lr_profile,cutoff_valid_to_activity,cutoff_valid,brier,0.006978724166763123,0.005147660508919874,0.008884802305697069,22
oulab,2,base_lr_profile,cutoff_valid_to_activity,cutoff_valid,ece,0.022238546312707996,-0.01928561013292061,0.033989831722860214,22
oulab,2,base_lr_profile,static_full,cutoff_valid,auc,0.05569419017358512,0.04322636268186461,0.06764805475153256,22
oulab,2,base_lr_profile,static_full,cutoff_valid,pr_auc_risk,0.13878791438761306,0.110937291712269,0.16667984649880324,22
oulab,2,base_lr_profile,static_full,cutoff_valid,brier,-0.015967608899624758,-0.020149867576606754,-0.011424070195773718,22
oulab,2,base_lr_profile,static_full,cutoff_valid,ece,0.0004108113568627031,-0.006277473068823902,0.007088898600952941,22
oulab,2,base_rf_gini,activity_conditioned,cutoff_valid,auc,0.008148156819835717,-0.0010470806210018306,0.015954018118848508,22
oulab,2,base_rf_gini,activity_conditioned,cutoff_valid,pr_auc_risk,0.021948400849806537,-0.002974241046453718,0.042974991401936155,22
oulab,2,base_rf_gini,activity_conditioned,cutoff_valid,brier,-0.0023067399275446265,-0.004541210495957307,0.0002971087364807315,22
oulab,2,base_rf_gini,activity_conditioned,cutoff_valid,ece,-0.0035498882595528768,-0.009177266608367448,0.0037893074338897557,22
oulab,2,base_rf_gini,activity_to_cutoff_valid,cutoff_valid,auc,-0.0004327751849483308,-0.0017644785526550605,0.0007131792923286888,22
oulab,2,base_rf_gini,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,-0.0014338830360536292,-0.005078870226813428,0.001910352951785354,22
oulab,2,base_rf_gini,activity_to_cutoff_valid,cutoff_valid,brier,0.0004170399290520932,-0.0002977909596274295,0.0012400262989636986,22
oulab,2,base_rf_gini,activity_to_cutoff_valid,cutoff_valid,ece,0.006366694829608489,-0.0028495599714829928,0.01002341063510181,22
oulab,2,base_rf_gini,cutoff_valid_to_activity,cutoff_valid,auc,0.006710106394805737,-0.002127955304823642,0.014070282628561448,22
oulab,2,base_rf_gini,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.018705636615758303,-0.00533292838195161,0.0389605110180062,22
oulab,2,base_rf_gini,cutoff_valid_to_activity,cutoff_valid,brier,-0.0013717268326853826,-0.003428869751217826,0.0009445360710118111,22
