dataset,week,protocol,reference_protocol,metric,spearman_rank_correlation,best_reference,best_protocol,ranking_reversal
oulab,2,activity_conditioned,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,2,activity_conditioned,cutoff_valid,pr_auc_risk,0.7999999999999999,stack_7_full,stack_7_full,False
oulab,2,activity_conditioned,cutoff_valid,brier,1.0,stack_7_full,stack_7_full,False
oulab,2,activity_conditioned,cutoff_valid,ece,1.0,temporal_hgb,temporal_hgb,False
oulab,2,activity_to_cutoff_valid,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,2,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,0.7999999999999999,stack_7_full,stack_7_full,False
oulab,2,activity_to_cutoff_valid,cutoff_valid,brier,1.0,stack_7_full,stack_7_full,False
oulab,2,activity_to_cutoff_valid,cutoff_valid,ece,0.39999999999999997,temporal_hgb,base_lr_profile,True
oulab,2,cutoff_valid_to_activity,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,2,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.7999999999999999,stack_7_full,stack_7_full,False
oulab,2,cutoff_valid_to_activity,cutoff_valid,brier,1.0,stack_7_full,stack_7_full,False
oulab,2,cutoff_valid_to_activity,cutoff_valid,ece,0.0,temporal_hgb,stack_7_full,True
oulab,2,static_full,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,2,static_full,cutoff_valid,pr_auc_risk,0.7999999999999999,stack_7_full,stack_7_full,False
oulab,2,static_full,cutoff_valid,brier,1.0,stack_7_full,stack_7_full,False
oulab,2,static_full,cutoff_valid,ece,1.0,temporal_hgb,temporal_hgb,False
oulab,4,activity_conditioned,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,4,activity_conditioned,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,4,activity_conditioned,cutoff_valid,brier,1.0,stack_7_full,stack_7_full,False
oulab,4,activity_conditioned,cutoff_valid,ece,1.0,base_lr_profile,base_lr_profile,False
oulab,4,activity_to_cutoff_valid,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,4,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,4,activity_to_cutoff_valid,cutoff_valid,brier,1.0,stack_7_full,stack_7_full,False
oulab,4,activity_to_cutoff_valid,cutoff_valid,ece,0.19999999999999998,base_lr_profile,stack_7_full,True
oulab,4,cutoff_valid_to_activity,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,4,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,4,cutoff_valid_to_activity,cutoff_valid,brier,1.0,stack_7_full,stack_7_full,False
oulab,4,cutoff_valid_to_activity,cutoff_valid,ece,0.19999999999999998,base_lr_profile,stack_7_full,True
oulab,4,static_full,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,4,static_full,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,4,static_full,cutoff_valid,brier,1.0,stack_7_full,stack_7_full,False
oulab,4,static_full,cutoff_valid,ece,1.0,base_lr_profile,base_lr_profile,False
oulab,6,activity_conditioned,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,6,activity_conditioned,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,6,activity_conditioned,cutoff_valid,brier,1.0,stack_7_full,stack_7_full,False
oulab,6,activity_conditioned,cutoff_valid,ece,1.0,base_lr_profile,base_lr_profile,False
oulab,6,activity_to_cutoff_valid,cutoff_valid,auc,1.0,stack_7_full,stack_7_full,False
oulab,6,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,1.0,stack_7_full,stack_7_full,False
oulab,6,activity_to_cutoff_valid,cutoff_valid,brier,1.0,stack_7_full,stack_7_full,False
