dataset,week,model,contrast,left_protocol,right_protocol,metric,delta,ci_low,ci_high,n_clusters,cluster_unit,identity_residual
oulab,2,base_lr_profile,joint_population_difference,activity_conditioned,cutoff_valid,auc,-0.01578426560017554,-0.02560685566803597,-0.007743424444085385,22,presentation,0.0
oulab,2,base_lr_profile,joint_population_difference,activity_conditioned,cutoff_valid,pr_auc_risk,-0.02061426607585537,-0.04608292200500585,0.0002002292236703678,22,presentation,0.0
oulab,2,base_lr_profile,joint_population_difference,activity_conditioned,cutoff_valid,brier,0.0057663891945839985,0.003876555667993111,0.007863567179704475,22,presentation,0.0
oulab,2,base_lr_profile,joint_population_difference,activity_conditioned,cutoff_valid,ece,-0.00028282440422882325,-0.007313689097054429,0.005148818842562672,22,presentation,0.0
oulab,2,base_lr_profile,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,auc,0.006984506072778007,0.0010754096427206621,0.013828336120817223,22,presentation,0.0
oulab,2,base_lr_profile,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,pr_auc_risk,0.018659957491694357,0.002868425787575396,0.034247071926452634,22,presentation,0.0
oulab,2,base_lr_profile,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,brier,-0.0005162126264850186,-0.001652237924934203,0.0004029209347025539,22,presentation,0.0
oulab,2,base_lr_profile,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,ece,-0.006922801388578858,-0.01819359521010632,0.01271735421730531,22,presentation,0.0
oulab,2,base_lr_profile,training_population_component,activity_to_cutoff_valid,cutoff_valid,auc,-0.022768771672953547,-0.029830442387016896,-0.017323058267980643,22,presentation,0.0
oulab,2,base_lr_profile,training_population_component,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,-0.039274223567549726,-0.05218047494654295,-0.028666008127884297,22,presentation,0.0
oulab,2,base_lr_profile,training_population_component,activity_to_cutoff_valid,cutoff_valid,brier,0.006282601821069017,0.004380690346887291,0.008536920829235087,22,presentation,0.0
oulab,2,base_lr_profile,training_population_component,activity_to_cutoff_valid,cutoff_valid,ece,0.006639976984350034,-0.011367922061407668,0.013114712264997967,22,presentation,0.0
oulab,2,base_lr_profile,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,auc,0.001667214818144136,5.289394152754589e-05,0.003221277373676872,22,presentation,0.0
oulab,2,base_lr_profile,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,pr_auc_risk,0.00136551210100333,-0.0009485745532805095,0.003546338018296873,22,presentation,0.0
oulab,2,base_lr_profile,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,brier,-0.0012123349721791243,-0.0032182741946097234,0.0006155175720504665,22,presentation,0.0
oulab,2,base_lr_profile,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,ece,-0.022521370716936818,-0.0306481999561935,0.018535890981596543,22,presentation,0.0
oulab,2,base_lr_profile,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,auc,-0.017451480418319676,-0.026524676592782244,-0.00996075259545026,22,presentation,0.0
oulab,2,base_lr_profile,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,-0.0219797781768587,-0.04597725860408852,-0.002643204533952282,22,presentation,0.0
oulab,2,base_lr_profile,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,brier,0.006978724166763123,0.0051467011868993,0.008897399847341591,22,presentation,0.0
oulab,2,base_lr_profile,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,ece,0.022238546312707996,-0.020539208581017335,0.03379735951321239,22,presentation,0.0
oulab,2,base_lr_profile,evaluation_population_shapley,combination,combination,auc,-0.005233487172770834,-0.012221949201626711,0.0013735505887911659,22,presentation,0.0
oulab,2,base_lr_profile,evaluation_population_shapley,combination,combination,pr_auc_risk,-0.0016599103425821715,-0.020629009594993756,0.015280929572074019,22,presentation,0.0
oulab,2,base_lr_profile,evaluation_population_shapley,combination,combination,brier,0.003231255770139052,0.0018845651781208017,0.0044464463568560314,22,presentation,0.0
oulab,2,base_lr_profile,evaluation_population_shapley,combination,combination,ece,0.0076578724620645685,-0.016461813059876,0.02253524109312903,22,presentation,0.0
oulab,2,base_lr_profile,training_population_shapley,combination,combination,auc,-0.010550778427404706,-0.01446420944122656,-0.007451538472454812,22,presentation,0.0
oulab,2,base_lr_profile,training_population_shapley,combination,combination,pr_auc_risk,-0.018954355733273198,-0.026006645727045932,-0.013343164133772211,22,presentation,0.0
oulab,2,base_lr_profile,training_population_shapley,combination,combination,brier,0.0025351334244449464,0.0007264958411856076,0.0043798969120981465,22,presentation,0.0
oulab,2,base_lr_profile,training_population_shapley,combination,combination,ece,-0.007940696866293392,-0.020635178521011224,0.014093245685596138,22,presentation,0.0
oulab,2,base_rf_gini,joint_population_difference,activity_conditioned,cutoff_valid,auc,0.008148156819835717,-0.0011616605573280562,0.015988700603921907,22,presentation,0.0
oulab,2,base_rf_gini,joint_population_difference,activity_conditioned,cutoff_valid,pr_auc_risk,0.021948400849806537,-0.0015935777638205223,0.04264308621688477,22,presentation,0.0
oulab,2,base_rf_gini,joint_population_difference,activity_conditioned,cutoff_valid,brier,-0.0023067399275446265,-0.004536937974941924,0.00040127410311672416,22,presentation,0.0
oulab,2,base_rf_gini,joint_population_difference,activity_conditioned,cutoff_valid,ece,-0.0035498882595528768,-0.008880809428138287,0.0035648976492367312,22,presentation,0.0
oulab,2,base_rf_gini,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,auc,0.008580932004784048,-0.0005674955349749043,0.016197742787883267,22,presentation,0.0
oulab,2,base_rf_gini,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,pr_auc_risk,0.023382283885860167,0.0014578085668824656,0.04355377304110585,22,presentation,0.0
oulab,2,base_rf_gini,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,brier,-0.0027237798565967197,-0.004921740173257394,-0.0001252946275848499,22,presentation,0.0
oulab,2,base_rf_gini,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,ece,-0.009916583089161365,-0.01755299981477622,0.005597190324323522,22,presentation,0.0
oulab,2,base_rf_gini,training_population_component,activity_to_cutoff_valid,cutoff_valid,auc,-0.0004327751849483308,-0.001792784935356545,0.0007378076905807995,22,presentation,0.0
oulab,2,base_rf_gini,training_population_component,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,-0.0014338830360536292,-0.004993142126684677,0.0018352083962202188,22,presentation,0.0
oulab,2,base_rf_gini,training_population_component,activity_to_cutoff_valid,cutoff_valid,brier,0.0004170399290520932,-0.0003207368972664916,0.0012469290657766683,22,presentation,0.0
oulab,2,base_rf_gini,training_population_component,activity_to_cutoff_valid,cutoff_valid,ece,0.006366694829608489,-0.003019887184799839,0.009921149538974971,22,presentation,0.0
oulab,2,base_rf_gini,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,auc,0.0014380504250299797,0.00040203553861501427,0.0025632730256262915,22,presentation,0.0
oulab,2,base_rf_gini,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,pr_auc_risk,0.0032427642340482343,0.0010924407605185787,0.00526935605202782,22,presentation,0.0
oulab,2,base_rf_gini,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,brier,-0.0009350130948592439,-0.001807428370994929,3.0996977906905856e-05,22,presentation,0.0
oulab,2,base_rf_gini,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,ece,-0.002428505724160007,-0.013439543442023142,0.005917692936284013,22,presentation,0.0
oulab,2,base_rf_gini,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,auc,0.006710106394805737,-0.0021889838015452523,0.013998421508746653,22,presentation,0.0
oulab,2,base_rf_gini,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.018705636615758303,-0.004073614091553687,0.038678661523326364,22,presentation,0.0
oulab,2,base_rf_gini,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,brier,-0.0013717268326853826,-0.003375106110274534,0.0010354827516901473,22,presentation,0.0
oulab,2,base_rf_gini,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,ece,-0.0011213825353928696,-0.013410384039629668,0.01544429021589652,22,presentation,0.0
oulab,2,base_rf_gini,evaluation_population_shapley,combination,combination,auc,0.007645519199794892,-0.0013112197181030444,0.015130427864647505,22,presentation,0.0
oulab,2,base_rf_gini,evaluation_population_shapley,combination,combination,pr_auc_risk,0.021043960250809235,-0.0013743715832516695,0.04112508433543488,22,presentation,0.0
oulab,2,base_rf_gini,evaluation_population_shapley,combination,combination,brier,-0.002047753344641051,-0.0041208296690328815,0.000473849299641726,22,presentation,0.0
oulab,2,base_rf_gini,evaluation_population_shapley,combination,combination,ece,-0.0055189828122771175,-0.014914476277802626,0.010334755242423237,22,presentation,0.0
oulab,2,base_rf_gini,training_population_shapley,combination,combination,auc,0.0005026376200408245,-0.0006118076991326743,0.0015833701061496951,22,presentation,0.0
oulab,2,base_rf_gini,training_population_shapley,combination,combination,pr_auc_risk,0.0009044405989973026,-0.0016227813783997805,0.003087839114354345,22,presentation,0.0
oulab,2,base_rf_gini,training_population_shapley,combination,combination,brier,-0.00025898658290357535,-0.0010275417096551765,0.0006074830112079275,22,presentation,0.0
oulab,2,base_rf_gini,training_population_shapley,combination,combination,ece,0.0019690945527242407,-0.007681315242083424,0.00709020110052664,22,presentation,0.0
oulab,2,stack_7_full,joint_population_difference,activity_conditioned,cutoff_valid,auc,0.007378405116483577,-0.0014144562332491866,0.015109035013247852,22,presentation,0.0
oulab,2,stack_7_full,joint_population_difference,activity_conditioned,cutoff_valid,pr_auc_risk,0.01997430572068193,-0.002398610529586331,0.04061187008836699,22,presentation,0.0
oulab,2,stack_7_full,joint_population_difference,activity_conditioned,cutoff_valid,brier,-0.001886596281147096,-0.004131116763195432,0.0005801278717446821,22,presentation,0.0
oulab,2,stack_7_full,joint_population_difference,activity_conditioned,cutoff_valid,ece,0.0003036877360183595,-0.004951039448870071,0.0061177743818583655,22,presentation,0.0
oulab,2,stack_7_full,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,auc,0.008618776981536236,-0.0003237589049986139,0.01629307511610194,22,presentation,0.0
oulab,2,stack_7_full,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,pr_auc_risk,0.02301275513197054,0.0004400134113060673,0.04350596742322656,22,presentation,0.0
oulab,2,stack_7_full,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,brier,-0.00251214549883666,-0.004754201355564175,7.404754601556885e-05,22,presentation,0.0
oulab,2,stack_7_full,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,ece,-0.005708377088948507,-0.013252420519359204,0.010432393091367967,22,presentation,0.0
oulab,2,stack_7_full,training_population_component,activity_to_cutoff_valid,cutoff_valid,auc,-0.0012403718650526585,-0.002255767630230901,-4.936885020526484e-05,22,presentation,0.0
oulab,2,stack_7_full,training_population_component,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,-0.003038449411288613,-0.0054537878251254505,-0.0010022673538765115,22,presentation,0.0
oulab,2,stack_7_full,training_population_component,activity_to_cutoff_valid,cutoff_valid,brier,0.0006255492176895638,-0.000253621952205052,0.0016152132339956255,22,presentation,0.0
oulab,2,stack_7_full,training_population_component,activity_to_cutoff_valid,cutoff_valid,ece,0.006012064824966867,-0.010901396858947681,0.017193595769376555,22,presentation,0.0
oulab,2,stack_7_full,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,auc,0.0004927983013848225,-0.0005657194057676285,0.0016289325971787078,22,presentation,0.0
oulab,2,stack_7_full,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,pr_auc_risk,0.0028288786204494487,-0.00023502570444275115,0.0057957249766446535,22,presentation,0.0
oulab,2,stack_7_full,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,brier,-0.001181554668015894,-0.0021788416096883575,-0.00019065604924252777,22,presentation,0.0
oulab,2,stack_7_full,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,ece,-0.011199335079902067,-0.019820306698675284,0.006489508004986259,22,presentation,0.0
oulab,2,stack_7_full,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,auc,0.006885606815098755,-0.0015228797323734139,0.014154441165997973,22,presentation,0.0
oulab,2,stack_7_full,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.01714542710023248,-0.004094088579526352,0.036544110907780585,22,presentation,0.0
oulab,2,stack_7_full,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,brier,-0.0007050416131312021,-0.002519952322206003,0.001448924686789217,22,presentation,0.0
oulab,2,stack_7_full,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,ece,0.011503022815920427,-0.002852932483494629,0.021618182479865126,22,presentation,0.0
oulab,2,stack_7_full,evaluation_population_shapley,combination,combination,auc,0.007752191898317495,-0.0009138008277690539,0.015222893817052042,22,presentation,0.0
oulab,2,stack_7_full,evaluation_population_shapley,combination,combination,pr_auc_risk,0.02007909111610151,-0.0019399535331680858,0.040107774220280355,22,presentation,0.0
oulab,2,stack_7_full,evaluation_population_shapley,combination,combination,brier,-0.001608593555983931,-0.003631550441544048,0.0007427261206783557,22,presentation,0.0
oulab,2,stack_7_full,evaluation_population_shapley,combination,combination,ece,0.0028973228634859597,-0.007022753981502256,0.01512815093095167,22,presentation,0.0
oulab,2,stack_7_full,training_population_shapley,combination,combination,auc,-0.000373786781833918,-0.0013214046179673353,0.0007188111155270456,22,presentation,0.0
oulab,2,stack_7_full,training_population_shapley,combination,combination,pr_auc_risk,-0.0001047853954195821,-0.0024943798032211347,0.002077671667385021,22,presentation,0.0
oulab,2,stack_7_full,training_population_shapley,combination,combination,brier,-0.00027800272516316504,-0.0011816855366002022,0.0006452281340306433,22,presentation,0.0
oulab,2,stack_7_full,training_population_shapley,combination,combination,ece,-0.0025936351274676002,-0.014605447593235968,0.011055164932021909,22,presentation,0.0
oulab,2,temporal_hgb,joint_population_difference,activity_conditioned,cutoff_valid,auc,0.00509108736305941,-0.005518044798351609,0.013020157409600417,22,presentation,0.0
oulab,2,temporal_hgb,joint_population_difference,activity_conditioned,cutoff_valid,pr_auc_risk,0.016712514969565384,-0.011103078533765928,0.0386313099053036,22,presentation,0.0
oulab,2,temporal_hgb,joint_population_difference,activity_conditioned,cutoff_valid,brier,-0.0002399804036489206,-0.0021668529532042216,0.0022200008956406556,22,presentation,0.0
oulab,2,temporal_hgb,joint_population_difference,activity_conditioned,cutoff_valid,ece,-0.0011097988916273296,-0.006479094363686996,0.0054822419750497065,22,presentation,0.0
oulab,2,temporal_hgb,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,auc,0.00466392671395599,-0.005957339984286472,0.012857366702920363,22,presentation,0.0
oulab,2,temporal_hgb,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,pr_auc_risk,0.016371193031766706,-0.010463384771201456,0.03832218941082126,22,presentation,0.0
oulab,2,temporal_hgb,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,brier,-0.0009077809168402673,-0.003222187823490488,0.001566269475794242,22,presentation,0.0
oulab,2,temporal_hgb,evaluation_population_component,activity_conditioned,activity_to_cutoff_valid,ece,-0.019356816429557732,-0.028358371806843273,0.020541619573558035,22,presentation,0.0
oulab,2,temporal_hgb,training_population_component,activity_to_cutoff_valid,cutoff_valid,auc,0.00042716064910341967,-0.0004095607042845811,0.0012422212172896933,22,presentation,0.0
oulab,2,temporal_hgb,training_population_component,activity_to_cutoff_valid,cutoff_valid,pr_auc_risk,0.0003413219377986776,-0.0024864121861826126,0.0032055109886394285,22,presentation,0.0
oulab,2,temporal_hgb,training_population_component,activity_to_cutoff_valid,cutoff_valid,brier,0.0006678005131913467,-0.00158409775040578,0.0033182190440295524,22,presentation,0.0
oulab,2,temporal_hgb,training_population_component,activity_to_cutoff_valid,cutoff_valid,ece,0.018247017537930402,-0.021123643544106212,0.02503898902333355,22,presentation,0.0
oulab,2,temporal_hgb,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,auc,0.0014122174128945453,0.0005696775272548166,0.002296547323579853,22,presentation,0.0
oulab,2,temporal_hgb,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,pr_auc_risk,0.002688399438801503,0.001089816011276934,0.004312334135343379,22,presentation,0.0
oulab,2,temporal_hgb,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,brier,-0.0014199369088630232,-0.0035975083112137545,0.0012271173167437324,22,presentation,0.0
oulab,2,temporal_hgb,training_population_component_at_activity,activity_conditioned,cutoff_valid_to_activity,ece,-0.020134098791284517,-0.024413908713816414,0.022919792976851337,22,presentation,0.0
oulab,2,temporal_hgb,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,auc,0.0036788699501648647,-0.006924788402727866,0.01193523418174939,22,presentation,0.0
oulab,2,temporal_hgb,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,pr_auc_risk,0.014024115530763881,-0.013598507829009825,0.036707094909037154,22,presentation,0.0
oulab,2,temporal_hgb,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,brier,0.0011799565052141026,-0.0007921643936310792,0.003258044891148771,22,presentation,0.0
oulab,2,temporal_hgb,evaluation_population_component_at_valid,cutoff_valid_to_activity,cutoff_valid,ece,0.019024299899657187,-0.021563077894634124,0.026975519289408657,22,presentation,0.0
oulab,2,temporal_hgb,evaluation_population_shapley,combination,combination,auc,0.0041713983320604275,-0.00640031327821605,0.01233942004190594,22,presentation,0.0
oulab,2,temporal_hgb,evaluation_population_shapley,combination,combination,pr_auc_risk,0.015197654281265294,-0.012033267041441444,0.037353369469482915,22,presentation,0.0
oulab,2,temporal_hgb,evaluation_population_shapley,combination,combination,brier,0.00013608779418691763,-0.0020079467012033454,0.002390567809715557,22,presentation,0.0
oulab,2,temporal_hgb,evaluation_population_shapley,combination,combination,ece,-0.00016625826495027252,-0.023216131601679447,0.022493215693665077,22,presentation,0.0
oulab,2,temporal_hgb,training_population_shapley,combination,combination,auc,0.0009196890309989825,9.06487588614044e-05,0.0017533006518258437,22,presentation,0.0
